Vulnerability Name,Risk Severity,CVSS Score,Vulnerability CVE IDs,Distribution,OS State,Hardware Configuration,Vulnerability Scanner
Fedora: Security Advisory for kernel (FEDORA-2024-2116a8468b),High,7.8,"CVE-2023-6679, CVE-2024-23849, CVE-2024-1086",Fedora,fully updated,Desktop,GVM
Fedora: Security Advisory for kernel (FEDORA-2023-a7b89262c6),High,7.8,CVE-2023-6111,Fedora,fully updated,Laptop,GVM
Fedora: Security Advisory for kernel (FEDORA-2024-2116a8468b),High,7.8,"CVE-2023-6679, CVE-2024-23849, CVE-2024-1086",Fedora,fully updated,Laptop,GVM
Fedora: Security Advisory for kernel (FEDORA-2023-a7b89262c6),High,7.8,CVE-2023-6111,Fedora,fully updated,Server,GVM
Fedora: Security Advisory for kernel (FEDORA-2024-2116a8468b),High,7.8,"CVE-2023-6679, CVE-2024-23849, CVE-2024-1086",Fedora,fully updated,Server,GVM
Fedora: Security Advisory for kernel (FEDORA-2023-a7b89262c6),High,7.8,CVE-2023-6111,Fedora,fully updated,Desktop,GVM
Fedora: Security Advisory for kernel (FEDORA-2024-50ab089b1d),High,7.5,"CVE-2023-6536, CVE-2023-6535, CVE-2023-6356, CVE-2023-46838",Fedora,fully updated,Laptop,GVM
Fedora: Security Advisory for kernel (FEDORA-2024-50ab089b1d),High,7.5,"CVE-2023-6536, CVE-2023-6535, CVE-2023-6356, CVE-2023-46838",Fedora,fully updated,Desktop,GVM
Fedora: Security Advisory for kernel (FEDORA-2024-50ab089b1d),High,7.5,"CVE-2023-6536, CVE-2023-6535, CVE-2023-6356, CVE-2023-46838",Fedora,fully updated,Server,GVM
Missing Linux Kernel mitigations for L1TF - L1 Terminal Fault hardware vulnerabilities,Medium,6.4,"CVE-2018-3615, CVE-2018-3620, CVE-2018-3646",Fedora,fully updated,Server,GVM
Missing Linux Kernel mitigations for MDS - Microarchitectural Data Sampling hardware vulnerabilities,Medium,5.6,"CVE-2018-12126, CVE-2018-12130, CVE-2018-12127, CVE-2019-11091",Fedora,fully updated,Server,GVM
Fedora: Security Advisory for kernel (FEDORA-2024-0eb4a61f45),Medium,5.5,CVE-2023-7042,Fedora,fully updated,Laptop,GVM
Fedora: Security Advisory for kernel (FEDORA-2024-d16d94b00d),Medium,5.5,"CVE-2024-23850, CVE-2024-23851, CVE-2023-52437, CVE-2024-26585, CVE-2024-26582, CVE-2024-26584, CVE-2024-26583, CVE-2024-26593, CVE-2024-26603, CVE-2024-26604, CVE-2024-26606",Fedora,fully updated,Laptop,GVM
Fedora: Security Advisory for kernel (FEDORA-2023-26ffe7d3c7),Medium,5.5,CVE-2023-6622,Fedora,fully updated,Server,GVM
Fedora: Security Advisory for kernel (FEDORA-2023-4df366ee80),Medium,5.5,CVE-2023-6560,Fedora,fully updated,Server,GVM
Fedora: Security Advisory for kernel (FEDORA-2023-26ffe7d3c7),Medium,5.5,CVE-2023-6622,Fedora,fully updated,Desktop,GVM
Fedora: Security Advisory for kernel (FEDORA-2024-0eb4a61f45),Medium,5.5,CVE-2023-7042,Fedora,fully updated,Server,GVM
Fedora: Security Advisory for kernel (FEDORA-2023-4df366ee80),Medium,5.5,CVE-2023-6560,Fedora,fully updated,Desktop,GVM
Fedora: Security Advisory for kernel (FEDORA-2024-88847bc77a),Medium,5.5,"CVE-2024-1151, CVE-2023-52429",Fedora,fully updated,Server,GVM
Fedora: Security Advisory for kernel (FEDORA-2024-d16d94b00d),Medium,5.5,"CVE-2024-23850, CVE-2024-23851, CVE-2023-52437, CVE-2024-26585, CVE-2024-26582, CVE-2024-26584, CVE-2024-26583, CVE-2024-26593, CVE-2024-26603, CVE-2024-26604, CVE-2024-26606",Fedora,fully updated,Server,GVM
Fedora: Security Advisory for kernel (FEDORA-2024-0eb4a61f45),Medium,5.5,CVE-2023-7042,Fedora,fully updated,Desktop,GVM
Fedora: Security Advisory for kernel (FEDORA-2023-26ffe7d3c7),Medium,5.5,CVE-2023-6622,Fedora,fully updated,Laptop,GVM
Missing Linux Kernel mitigations for Processor MMIO Stale Data hardware vulnerabilities,Medium,5.5,"CVE-2022-21123, CVE-2022-21125, CVE-2022-21166",Fedora,fully updated,Server,GVM
