IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References,Distribution,State
Server,,,,6.4,Medium,80,VendorFix,Missing Linux Kernel mitigations for L1TF - L1 Terminal Fault hardware vulnerabilities,"The remote host is missing one or more known mitigation(s) on
  Linux Kernel side for the referenced 'L1TF - L1 Terminal Fault' hardware vulnerabilities.","The Linux Kernel on the remote host is missing the mitigation for the ""l1tf"" hardware vulnerabilities as reported by the sysfs interface:

sysfs file checked                           | Linux Kernel status (SSH response)
------------------------------------------------------------------------------------------------------------------------
/sys/devices/system/cpu/vulnerabilities/l1tf | Mitigation: PTE Inversion; VMX: conditional cache flushes, SMT vulnerable

Notes on the ""Linux Kernel status (SSH response)"" column:
- sysfs file missing: The sysfs interface is available but the sysfs file for this specific vulnerability is missing. This means the current Linux Kernel doesn't know this vulnerability yet. Based on this it is assumed that it doesn't provide any mitigation and that the target system is vulnerable.
- Strings including ""Mitigation:"", ""Not affected"" or ""Vulnerable"" are reported directly by the Linux Kernel.
- All other strings are responses to various SSH commands.
",1.3.6.1.4.1.25623.1.0.108839,"CVE-2018-3615,CVE-2018-3620,CVE-2018-3646",188e2e62-f0c1-48b8-928e-f4641a8bb47f,Kali Linux (post-scan),2024-04-12T00:09:40Z,df2c3596-125f-4ff1-bdbe-c9b4c6371c3e,,"The following solutions exist:

  - Update to a more recent Linux Kernel to receive mitigations on Kernel level and info about
  the mitigation status from it

  - Enable the mitigation(s) in the Linux Kernel (might be disabled depending on the configuration)

  Additional possible mitigations (if provided by the vendor) are to:

  - install a Microcode update

  - update the BIOS of the Mainboard

  Note: Please create an override for this result if the sysfs file is not available but other
  mitigations like a Microcode update is already in place.",,,"Checks previous gathered information on the mitigation status
  reported by the Linux Kernel.
Details:
Missing Linux Kernel mitigations for 'L1TF - L1 Terminal Fault' hardware vul...
(OID: 1.3.6.1.4.1.25623.1.0.108839)
Version used: 2023-08-14T05:05:34Z
","Product: cpe:/a:linux:kernel
Method: Detection of Linux Kernel mitigation status for hardware vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.108765)
",,"DFN-CERT-2019-0740,DFN-CERT-2019-0108,DFN-CERT-2019-0069,DFN-CERT-2019-0004,DFN-CERT-2018-2554,DFN-CERT-2018-2441,DFN-CERT-2018-2399,DFN-CERT-2018-2349,DFN-CERT-2018-2217,DFN-CERT-2018-2182,DFN-CERT-2018-2072,DFN-CERT-2018-2066,DFN-CERT-2018-1982,DFN-CERT-2018-1929,DFN-CERT-2018-1869,DFN-CERT-2018-1863,DFN-CERT-2018-1822,DFN-CERT-2018-1806,DFN-CERT-2018-1782,DFN-CERT-2018-1734,DFN-CERT-2018-1722,DFN-CERT-2018-1699,DFN-CERT-2018-1677,DFN-CERT-2018-1670,DFN-CERT-2018-1666,DFN-CERT-2018-1665,DFN-CERT-2018-1661,DFN-CERT-2018-1657,DFN-CERT-2018-1656,DFN-CERT-2018-1654,DFN-CERT-2018-1653,DFN-CERT-2018-1652,DFN-CERT-2018-1651,DFN-CERT-2018-1650,DFN-CERT-2018-1637,DFN-CERT-2018-1634,DFN-CERT-2018-1632,DFN-CERT-2018-1631,DFN-CERT-2018-1629,DFN-CERT-2018-1627,DFN-CERT-2018-1625,DFN-CERT-2018-1624,DFN-CERT-2018-1623,DFN-CERT-2018-1622,DFN-CERT-2018-1621,DFN-CERT-2018-1617,DFN-CERT-2018-1615,DFN-CERT-2018-1614,DFN-CERT-2018-1605,DFN-CERT-2018-1601,CB-K19/0047,CB-K18/1050,CB-K18/0867,CB-K18/0858",,Kali Linux,fully updated
Server,,,,5.6,Medium,80,VendorFix,Missing Linux Kernel mitigations for MDS - Microarchitectural Data Sampling hardware vulnerabilities,"The remote host is missing one or more known mitigation(s) on
  Linux Kernel side for the referenced 'MDS - Microarchitectural Data Sampling' hardware
  vulnerabilities.","The Linux Kernel on the remote host is missing the mitigation for the ""mds"" hardware vulnerabilities as reported by the sysfs interface:

sysfs file checked                          | Linux Kernel status (SSH response)
-------------------------------------------------------------------------------------------
/sys/devices/system/cpu/vulnerabilities/mds | Mitigation: Clear CPU buffers; SMT vulnerable

Notes on the ""Linux Kernel status (SSH response)"" column:
- sysfs file missing: The sysfs interface is available but the sysfs file for this specific vulnerability is missing. This means the current Linux Kernel doesn't know this vulnerability yet. Based on this it is assumed that it doesn't provide any mitigation and that the target system is vulnerable.
- Strings including ""Mitigation:"", ""Not affected"" or ""Vulnerable"" are reported directly by the Linux Kernel.
- All other strings are responses to various SSH commands.
",1.3.6.1.4.1.25623.1.0.108840,"CVE-2018-12126,CVE-2018-12130,CVE-2018-12127,CVE-2019-11091",188e2e62-f0c1-48b8-928e-f4641a8bb47f,Kali Linux (post-scan),2024-04-12T00:09:40Z,6f81c9aa-7da1-40c7-a7ee-f1268e929e95,,"The following solutions exist:

  - Update to a more recent Linux Kernel to receive mitigations on Kernel level and info about
  the mitigation status from it

  - Enable the mitigation(s) in the Linux Kernel (might be disabled depending on the configuration)

  Additional possible mitigations (if provided by the vendor) are to:

  - install a Microcode update

  - update the BIOS of the Mainboard

  Note: Please create an override for this result if the sysfs file is not available but other
  mitigations like a Microcode update is already in place.",,,"Checks previous gathered information on the mitigation status
  reported by the Linux Kernel.
Details:
Missing Linux Kernel mitigations for 'MDS - Microarchitectural Data Sampling...
(OID: 1.3.6.1.4.1.25623.1.0.108840)
Version used: 2023-08-14T05:05:34Z
","Product: cpe:/a:linux:kernel
Method: Detection of Linux Kernel mitigation status for hardware vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.108765)
",,"DFN-CERT-2020-1041,DFN-CERT-2020-0069,DFN-CERT-2020-0048,DFN-CERT-2019-2374,DFN-CERT-2019-2214,DFN-CERT-2019-1985,DFN-CERT-2019-1767,DFN-CERT-2019-1414,DFN-CERT-2019-1235,DFN-CERT-2019-1200,DFN-CERT-2019-1172,DFN-CERT-2019-1151,DFN-CERT-2019-1149,DFN-CERT-2019-1122,DFN-CERT-2019-1083,DFN-CERT-2019-1036,DFN-CERT-2019-1032,DFN-CERT-2019-1026,DFN-CERT-2019-1025,DFN-CERT-2019-1024,DFN-CERT-2019-1017,DFN-CERT-2019-1012,DFN-CERT-2019-1009,DFN-CERT-2019-1005,DFN-CERT-2019-1004,DFN-CERT-2019-1003,DFN-CERT-2019-1002,DFN-CERT-2019-0994,DFN-CERT-2019-0990,DFN-CERT-2019-0989,DFN-CERT-2019-0988,DFN-CERT-2019-0987,DFN-CERT-2019-0986,DFN-CERT-2019-0977,DFN-CERT-2019-0974,DFN-CERT-2019-0971,DFN-CERT-2019-0969,DFN-CERT-2019-0950,DFN-CERT-2018-2399,WID-SEC-2023-1692,CB-K19/0414",,Kali Linux,fully updated
Server,,,,5.5,Medium,80,VendorFix,Missing Linux Kernel mitigations for Processor MMIO Stale Data hardware vulnerabilities,"The remote host is missing one or more known mitigation(s) on
  Linux Kernel side for the referenced 'Processor MMIO Stale Data' hardware vulnerabilities.","The Linux Kernel on the remote host is missing the mitigation for the ""mmio_stale_data"" hardware vulnerabilities as reported by the sysfs interface:

sysfs file checked                                      | Linux Kernel status (SSH response)
-------------------------------------------------------------------------------------------------------
/sys/devices/system/cpu/vulnerabilities/mmio_stale_data | Mitigation: Clear CPU buffers; SMT vulnerable

Notes on the ""Linux Kernel status (SSH response)"" column:
- sysfs file missing: The sysfs interface is available but the sysfs file for this specific vulnerability is missing. This means the current Linux Kernel doesn't know this vulnerability yet. Based on this it is assumed that it doesn't provide any mitigation and that the target system is vulnerable.
- Strings including ""Mitigation:"", ""Not affected"" or ""Vulnerable"" are reported directly by the Linux Kernel.
- All other strings are responses to various SSH commands.
",1.3.6.1.4.1.25623.1.0.104247,"CVE-2022-21123,CVE-2022-21125,CVE-2022-21166",188e2e62-f0c1-48b8-928e-f4641a8bb47f,Kali Linux (post-scan),2024-04-12T00:09:40Z,bdd3e4e9-e20f-40a3-bafd-a176e3474cde,,"The following solutions exist:

  - Update to a more recent Linux Kernel to receive mitigations on Kernel level and info about
  the mitigation status from it

  - Enable the mitigation(s) in the Linux Kernel (might be disabled depending on the configuration)

  Additional possible mitigations (if provided by the vendor) are to:

  - install a Microcode update

  - update the BIOS of the Mainboard

  Note: Please create an override for this result if the sysfs file is not available but other
  mitigations like a Microcode update is already in place.",,,"Checks previous gathered information on the mitigation status
  reported by the Linux Kernel.
Details:
Missing Linux Kernel mitigations for 'Processor MMIO Stale Data' hardware vu...
(OID: 1.3.6.1.4.1.25623.1.0.104247)
Version used: 2023-08-14T05:05:34Z
","Product: cpe:/a:linux:kernel
Method: Detection of Linux Kernel mitigation status for hardware vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.108765)
",,"DFN-CERT-2023-1230,DFN-CERT-2023-0376,DFN-CERT-2022-2858,DFN-CERT-2022-2569,DFN-CERT-2022-2446,DFN-CERT-2022-2304,DFN-CERT-2022-1725,DFN-CERT-2022-1664,DFN-CERT-2022-1663,DFN-CERT-2022-1661,DFN-CERT-2022-1640,DFN-CERT-2022-1636,DFN-CERT-2022-1596,DFN-CERT-2022-1575,DFN-CERT-2022-1552,DFN-CERT-2022-1529,DFN-CERT-2022-1523,DFN-CERT-2022-1519,DFN-CERT-2022-1488,DFN-CERT-2022-1481,DFN-CERT-2022-1424,DFN-CERT-2022-1413,DFN-CERT-2022-1405,DFN-CERT-2022-1378,DFN-CERT-2022-1375,DFN-CERT-2022-1371,DFN-CERT-2022-1369,DFN-CERT-2022-1365,DFN-CERT-2022-1358,DFN-CERT-2022-1345,DFN-CERT-2022-1343,DFN-CERT-2022-1342,DFN-CERT-2022-1341,DFN-CERT-2022-1338,DFN-CERT-2022-1336,DFN-CERT-2022-1334,DFN-CERT-2022-1333,DFN-CERT-2022-1328,WID-SEC-2023-2031,WID-SEC-2023-1432,WID-SEC-2022-1767,WID-SEC-2022-0336,WID-SEC-2022-0330,WID-SEC-2022-0303",,Kali Linux,fully updated
Server,,,,2.6,Low,80,Mitigation,TCP Timestamps Information Disclosure,"The remote host implements TCP timestamps and therefore allows
  to compute the uptime.","It was detected that the host implements RFC1323/RFC7323.

The following timestamps were retrieved with a delay of 1 seconds in-between:
Packet 1: 2648622045
Packet 2: 2648623114
",1.3.6.1.4.1.25623.1.0.80091,,188e2e62-f0c1-48b8-928e-f4641a8bb47f,Kali Linux (post-scan),2024-04-12T00:09:40Z,26f090fb-a61f-4989-8276-8043f2a166fb,"A side effect of this feature is that the uptime of the remote
  host can sometimes be computed.","To disable TCP timestamps on linux add the line
  'net.ipv4.tcp_timestamps = 0' to /etc/sysctl.conf. Execute 'sysctl -p' to apply the settings at
  runtime.

  To disable TCP timestamps on Windows execute 'netsh int tcp set global timestamps=disabled'

  Starting with Windows Server 2008 and Vista, the timestamp can not be completely disabled.

  The default behavior of the TCP/IP stack on this Systems is to not use the Timestamp options when
  initiating TCP connections, but use them if the TCP peer that is initiating communication includes
  them in their synchronize (SYN) segment.

  See the references for more information.",TCP implementations that implement RFC1323/RFC7323.,"The remote host implements TCP timestamps, as defined by
  RFC1323/RFC7323.","Special IP packets are forged and sent with a little delay in
  between to the target IP. The responses are searched for a timestamps. If found, the timestamps
  are reported.
Details:
TCP Timestamps Information Disclosure
(OID: 1.3.6.1.4.1.25623.1.0.80091)
Version used: 2023-12-15T16:10:08Z
",,,,,Kali Linux,fully updated
Desktop,,,,2.6,Low,80,Mitigation,TCP Timestamps Information Disclosure,"The remote host implements TCP timestamps and therefore allows
  to compute the uptime.","It was detected that the host implements RFC1323/RFC7323.

The following timestamps were retrieved with a delay of 1 seconds in-between:
Packet 1: 429623192
Packet 2: 429624253
",1.3.6.1.4.1.25623.1.0.80091,,188e2e62-f0c1-48b8-928e-f4641a8bb47f,Kali Linux (post-scan),2024-04-12T00:09:40Z,1bc21d1c-d3e0-47f3-8a72-40475aa8a71d,"A side effect of this feature is that the uptime of the remote
  host can sometimes be computed.","To disable TCP timestamps on linux add the line
  'net.ipv4.tcp_timestamps = 0' to /etc/sysctl.conf. Execute 'sysctl -p' to apply the settings at
  runtime.

  To disable TCP timestamps on Windows execute 'netsh int tcp set global timestamps=disabled'

  Starting with Windows Server 2008 and Vista, the timestamp can not be completely disabled.

  The default behavior of the TCP/IP stack on this Systems is to not use the Timestamp options when
  initiating TCP connections, but use them if the TCP peer that is initiating communication includes
  them in their synchronize (SYN) segment.

  See the references for more information.",TCP implementations that implement RFC1323/RFC7323.,"The remote host implements TCP timestamps, as defined by
  RFC1323/RFC7323.","Special IP packets are forged and sent with a little delay in
  between to the target IP. The responses are searched for a timestamps. If found, the timestamps
  are reported.
Details:
TCP Timestamps Information Disclosure
(OID: 1.3.6.1.4.1.25623.1.0.80091)
Version used: 2023-12-15T16:10:08Z
",,,,,Kali Linux,fully updated
Laptop,,,,2.6,Low,80,Mitigation,TCP Timestamps Information Disclosure,"The remote host implements TCP timestamps and therefore allows
  to compute the uptime.","It was detected that the host implements RFC1323/RFC7323.

The following timestamps were retrieved with a delay of 1 seconds in-between:
Packet 1: 3035436952
Packet 2: 3035438040
",1.3.6.1.4.1.25623.1.0.80091,,188e2e62-f0c1-48b8-928e-f4641a8bb47f,Kali Linux (post-scan),2024-04-12T00:09:40Z,d7052cd6-f894-4924-bf1b-02f17a98af9b,"A side effect of this feature is that the uptime of the remote
  host can sometimes be computed.","To disable TCP timestamps on linux add the line
  'net.ipv4.tcp_timestamps = 0' to /etc/sysctl.conf. Execute 'sysctl -p' to apply the settings at
  runtime.

  To disable TCP timestamps on Windows execute 'netsh int tcp set global timestamps=disabled'

  Starting with Windows Server 2008 and Vista, the timestamp can not be completely disabled.

  The default behavior of the TCP/IP stack on this Systems is to not use the Timestamp options when
  initiating TCP connections, but use them if the TCP peer that is initiating communication includes
  them in their synchronize (SYN) segment.

  See the references for more information.",TCP implementations that implement RFC1323/RFC7323.,"The remote host implements TCP timestamps, as defined by
  RFC1323/RFC7323.","Special IP packets are forged and sent with a little delay in
  between to the target IP. The responses are searched for a timestamps. If found, the timestamps
  are reported.
Details:
TCP Timestamps Information Disclosure
(OID: 1.3.6.1.4.1.25623.1.0.80091)
Version used: 2023-12-15T16:10:08Z
",,,,,Kali Linux,fully updated
Server,,22,tcp,2.6,Low,80,Mitigation,Weak MAC Algorithm(s) Supported (SSH),"The remote SSH server is configured to allow / support weak MAC
  algorithm(s).","The remote SSH server supports the following weak client-to-server MAC algorithm(s):

umac-64-etm@openssh.com
umac-64@openssh.com


The remote SSH server supports the following weak server-to-client MAC algorithm(s):

umac-64-etm@openssh.com
umac-64@openssh.com
",1.3.6.1.4.1.25623.1.0.105610,,188e2e62-f0c1-48b8-928e-f4641a8bb47f,Kali Linux (post-scan),2024-04-12T00:09:40Z,0d4a6b6a-0252-45bb-b0ab-95a8ec2e0788,,Disable the reported weak MAC algorithm(s).,,,"Checks the supported MAC algorithms (client-to-server and
  server-to-client) of the remote SSH server.

  Currently weak MAC algorithms are defined as the following:

  - MD5 based algorithms

  - 96-bit based algorithms

  - 64-bit based algorithms

  - 'none' algorithm
Details:
Weak MAC Algorithm(s) Supported (SSH)
(OID: 1.3.6.1.4.1.25623.1.0.105610)
Version used: 2023-10-12T05:05:32Z
",,,,,Kali Linux,fully updated
Desktop,,22,tcp,2.6,Low,80,Mitigation,Weak MAC Algorithm(s) Supported (SSH),"The remote SSH server is configured to allow / support weak MAC
  algorithm(s).","The remote SSH server supports the following weak client-to-server MAC algorithm(s):

umac-64-etm@openssh.com
umac-64@openssh.com


The remote SSH server supports the following weak server-to-client MAC algorithm(s):

umac-64-etm@openssh.com
umac-64@openssh.com
",1.3.6.1.4.1.25623.1.0.105610,,188e2e62-f0c1-48b8-928e-f4641a8bb47f,Kali Linux (post-scan),2024-04-12T00:09:40Z,46430784-f10f-460f-8483-a4817b77754a,,Disable the reported weak MAC algorithm(s).,,,"Checks the supported MAC algorithms (client-to-server and
  server-to-client) of the remote SSH server.

  Currently weak MAC algorithms are defined as the following:

  - MD5 based algorithms

  - 96-bit based algorithms

  - 64-bit based algorithms

  - 'none' algorithm
Details:
Weak MAC Algorithm(s) Supported (SSH)
(OID: 1.3.6.1.4.1.25623.1.0.105610)
Version used: 2023-10-12T05:05:32Z
",,,,,Kali Linux,fully updated
Laptop,,22,tcp,2.6,Low,80,Mitigation,Weak MAC Algorithm(s) Supported (SSH),"The remote SSH server is configured to allow / support weak MAC
  algorithm(s).","The remote SSH server supports the following weak client-to-server MAC algorithm(s):

umac-64-etm@openssh.com
umac-64@openssh.com


The remote SSH server supports the following weak server-to-client MAC algorithm(s):

umac-64-etm@openssh.com
umac-64@openssh.com
",1.3.6.1.4.1.25623.1.0.105610,,188e2e62-f0c1-48b8-928e-f4641a8bb47f,Kali Linux (post-scan),2024-04-12T00:09:40Z,77a97bb8-bff3-4e9e-9bb0-b7cf8ea0b18e,,Disable the reported weak MAC algorithm(s).,,,"Checks the supported MAC algorithms (client-to-server and
  server-to-client) of the remote SSH server.

  Currently weak MAC algorithms are defined as the following:

  - MD5 based algorithms

  - 96-bit based algorithms

  - 64-bit based algorithms

  - 'none' algorithm
Details:
Weak MAC Algorithm(s) Supported (SSH)
(OID: 1.3.6.1.4.1.25623.1.0.105610)
Version used: 2023-10-12T05:05:32Z
",,,,,Kali Linux,fully updated
Laptop,,,,2.1,Low,80,Mitigation,ICMP Timestamp Reply Information Disclosure,The remote host responded to an ICMP timestamp request.,"The following response / ICMP packet has been received:
- ICMP Type: 14
- ICMP Code: 0
",1.3.6.1.4.1.25623.1.0.103190,CVE-1999-0524,188e2e62-f0c1-48b8-928e-f4641a8bb47f,Kali Linux (post-scan),2024-04-12T00:09:40Z,a7bd52ef-55fa-4d28-839b-d402a897a679,"This information could theoretically be used to exploit weak
  time-based random number generators in other services.","Various mitigations are possible:

  - Disable the support for ICMP timestamp on the remote host completely

  - Protect the remote host by a firewall, and block ICMP packets passing through the firewall in
  either direction (either completely or only for untrusted networks)",,"The Timestamp Reply is an ICMP message which replies to a
  Timestamp message. It consists of the originating timestamp sent by the sender of the Timestamp as
  well as a receive timestamp and a transmit timestamp.","Sends an ICMP Timestamp (Type 13) request and checks if a
  Timestamp Reply (Type 14) is received.
Details:
ICMP Timestamp Reply Information Disclosure
(OID: 1.3.6.1.4.1.25623.1.0.103190)
Version used: 2023-05-11T09:09:33Z
",,,"DFN-CERT-2014-0658,CB-K15/1514,CB-K14/0632",,Kali Linux,fully updated
