IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References,Distribution,State
Server,,,,6.4,Medium,80,VendorFix,Missing Linux Kernel mitigations for L1TF - L1 Terminal Fault hardware vulnerabilities,"The remote host is missing one or more known mitigation(s) on
  Linux Kernel side for the referenced 'L1TF - L1 Terminal Fault' hardware vulnerabilities.","The Linux Kernel on the remote host is missing the mitigation for the ""l1tf"" hardware vulnerabilities as reported by the sysfs interface:

sysfs file checked                           | Linux Kernel status (SSH response)
------------------------------------------------------------------------------------------------------------------------
/sys/devices/system/cpu/vulnerabilities/l1tf | Mitigation: PTE Inversion; VMX: conditional cache flushes, SMT vulnerable

Notes on the ""Linux Kernel status (SSH response)"" column:
- sysfs file missing: The sysfs interface is available but the sysfs file for this specific vulnerability is missing. This means the current Linux Kernel doesn't know this vulnerability yet. Based on this it is assumed that it doesn't provide any mitigation and that the target system is vulnerable.
- Strings including ""Mitigation:"", ""Not affected"" or ""Vulnerable"" are reported directly by the Linux Kernel.
- All other strings are responses to various SSH commands.
",1.3.6.1.4.1.25623.1.0.108839,"CVE-2018-3615,CVE-2018-3620,CVE-2018-3646",a9f18a8a-f6f7-4201-84d2-aaa95577056d,OpenSUSE (pre-scan),2024-04-10T04:04:33Z,0a6d126a-dd46-4891-9c8e-9427b86be05f,,"The following solutions exist:

  - Update to a more recent Linux Kernel to receive mitigations on Kernel level and info about
  the mitigation status from it

  - Enable the mitigation(s) in the Linux Kernel (might be disabled depending on the configuration)

  Additional possible mitigations (if provided by the vendor) are to:

  - install a Microcode update

  - update the BIOS of the Mainboard

  Note: Please create an override for this result if the sysfs file is not available but other
  mitigations like a Microcode update is already in place.",,,"Checks previous gathered information on the mitigation status
  reported by the Linux Kernel.
Details:
Missing Linux Kernel mitigations for 'L1TF - L1 Terminal Fault' hardware vul...
(OID: 1.3.6.1.4.1.25623.1.0.108839)
Version used: 2023-08-14T05:05:34Z
","Product: cpe:/a:linux:kernel
Method: Detection of Linux Kernel mitigation status for hardware vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.108765)
",,"DFN-CERT-2019-0740,DFN-CERT-2019-0108,DFN-CERT-2019-0069,DFN-CERT-2019-0004,DFN-CERT-2018-2554,DFN-CERT-2018-2441,DFN-CERT-2018-2399,DFN-CERT-2018-2349,DFN-CERT-2018-2217,DFN-CERT-2018-2182,DFN-CERT-2018-2072,DFN-CERT-2018-2066,DFN-CERT-2018-1982,DFN-CERT-2018-1929,DFN-CERT-2018-1869,DFN-CERT-2018-1863,DFN-CERT-2018-1822,DFN-CERT-2018-1806,DFN-CERT-2018-1782,DFN-CERT-2018-1734,DFN-CERT-2018-1722,DFN-CERT-2018-1699,DFN-CERT-2018-1677,DFN-CERT-2018-1670,DFN-CERT-2018-1666,DFN-CERT-2018-1665,DFN-CERT-2018-1661,DFN-CERT-2018-1657,DFN-CERT-2018-1656,DFN-CERT-2018-1654,DFN-CERT-2018-1653,DFN-CERT-2018-1652,DFN-CERT-2018-1651,DFN-CERT-2018-1650,DFN-CERT-2018-1637,DFN-CERT-2018-1634,DFN-CERT-2018-1632,DFN-CERT-2018-1631,DFN-CERT-2018-1629,DFN-CERT-2018-1627,DFN-CERT-2018-1625,DFN-CERT-2018-1624,DFN-CERT-2018-1623,DFN-CERT-2018-1622,DFN-CERT-2018-1621,DFN-CERT-2018-1617,DFN-CERT-2018-1615,DFN-CERT-2018-1614,DFN-CERT-2018-1605,DFN-CERT-2018-1601,CB-K19/0047,CB-K18/1050,CB-K18/0867,CB-K18/0858",,OpenSUSE,freshly installed
Server,,,,6.1,Medium,80,VendorFix,jQuery < 1.9.0 XSS Vulnerability,"jQuery is prone to a cross-site scripting (XSS)
  vulnerability.","Installed version: 1.7.2
Fixed version:     1.9.0
Installation
path / port:       /usr/share/xml/docbook/stylesheet/nwalsh/1.79.2/webhelp/template/common/jquery/jquery-1.7.2.min.js

",1.3.6.1.4.1.25623.1.0.141636,CVE-2012-6708,a9f18a8a-f6f7-4201-84d2-aaa95577056d,OpenSUSE (pre-scan),2024-04-10T04:04:33Z,f473d896-b75f-4442-8c18-0516daa64d63,,Update to version 1.9.0 or later.,jQuery prior to version 1.9.0.,"The jQuery(strInput) function does not differentiate selectors
  from HTML in a reliable fashion. In vulnerable versions, jQuery determined whether the input was
  HTML by looking for the '<' character anywhere in the string, giving attackers more flexibility
  when attempting to construct a malicious payload. In fixed versions, jQuery only deems the input
  to be HTML if it explicitly starts with the '<' character, limiting exploitability only to
  attackers who can control the beginning of a string, which is far less common.","Checks if a vulnerable version is present on the target host.
Details:
jQuery < 1.9.0 XSS Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.141636)
Version used: 2023-07-14T05:06:08Z
","Product: cpe:/a:jquery:jquery:1.7.2
Method: jQuery Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.150658)
",,"DFN-CERT-2023-1197,DFN-CERT-2020-0590,WID-SEC-2022-0673,CB-K22/0045,CB-K18/1131",,OpenSUSE,freshly installed
Desktop,,,,6.1,Medium,80,VendorFix,jQuery < 1.9.0 XSS Vulnerability,"jQuery is prone to a cross-site scripting (XSS)
  vulnerability.","Installed version: 1.7.2
Fixed version:     1.9.0
Installation
path / port:       /usr/share/xml/docbook/stylesheet/nwalsh/1.79.2/webhelp/template/common/jquery/jquery-1.7.2.min.js

",1.3.6.1.4.1.25623.1.0.141636,CVE-2012-6708,a9f18a8a-f6f7-4201-84d2-aaa95577056d,OpenSUSE (pre-scan),2024-04-10T04:04:33Z,d8619e0b-eef6-43e2-86ab-eaf4253bf880,,Update to version 1.9.0 or later.,jQuery prior to version 1.9.0.,"The jQuery(strInput) function does not differentiate selectors
  from HTML in a reliable fashion. In vulnerable versions, jQuery determined whether the input was
  HTML by looking for the '<' character anywhere in the string, giving attackers more flexibility
  when attempting to construct a malicious payload. In fixed versions, jQuery only deems the input
  to be HTML if it explicitly starts with the '<' character, limiting exploitability only to
  attackers who can control the beginning of a string, which is far less common.","Checks if a vulnerable version is present on the target host.
Details:
jQuery < 1.9.0 XSS Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.141636)
Version used: 2023-07-14T05:06:08Z
","Product: cpe:/a:jquery:jquery:1.7.2
Method: jQuery Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.150658)
",,"DFN-CERT-2023-1197,DFN-CERT-2020-0590,WID-SEC-2022-0673,CB-K22/0045,CB-K18/1131",,OpenSUSE,freshly installed
Laptop,,,,6.1,Medium,80,VendorFix,jQuery < 1.9.0 XSS Vulnerability,"jQuery is prone to a cross-site scripting (XSS)
  vulnerability.","Installed version: 1.7.2
Fixed version:     1.9.0
Installation
path / port:       /usr/share/xml/docbook/stylesheet/nwalsh/1.79.2/webhelp/template/common/jquery/jquery-1.7.2.min.js

",1.3.6.1.4.1.25623.1.0.141636,CVE-2012-6708,a9f18a8a-f6f7-4201-84d2-aaa95577056d,OpenSUSE (pre-scan),2024-04-10T04:04:33Z,0efe65ff-07fe-40d3-9879-bddf1dba113d,,Update to version 1.9.0 or later.,jQuery prior to version 1.9.0.,"The jQuery(strInput) function does not differentiate selectors
  from HTML in a reliable fashion. In vulnerable versions, jQuery determined whether the input was
  HTML by looking for the '<' character anywhere in the string, giving attackers more flexibility
  when attempting to construct a malicious payload. In fixed versions, jQuery only deems the input
  to be HTML if it explicitly starts with the '<' character, limiting exploitability only to
  attackers who can control the beginning of a string, which is far less common.","Checks if a vulnerable version is present on the target host.
Details:
jQuery < 1.9.0 XSS Vulnerability
(OID: 1.3.6.1.4.1.25623.1.0.141636)
Version used: 2023-07-14T05:06:08Z
","Product: cpe:/a:jquery:jquery:1.7.2
Method: jQuery Detection Consolidation
(OID: 1.3.6.1.4.1.25623.1.0.150658)
",,"DFN-CERT-2023-1197,DFN-CERT-2020-0590,WID-SEC-2022-0673,CB-K22/0045,CB-K18/1131",,OpenSUSE,freshly installed
Laptop,,,,5.6,Medium,80,VendorFix,Missing Linux Kernel mitigations for MDS - Microarchitectural Data Sampling hardware vulnerabilities,"The remote host is missing one or more known mitigation(s) on
  Linux Kernel side for the referenced 'MDS - Microarchitectural Data Sampling' hardware
  vulnerabilities.","The Linux Kernel on the remote host is missing the mitigation for the ""mds"" hardware vulnerabilities as reported by the sysfs interface:

sysfs file checked                          | Linux Kernel status (SSH response)
-----------------------------------------------------------------------------------------------------------------
/sys/devices/system/cpu/vulnerabilities/mds | Vulnerable: Clear CPU buffers attempted, no microcode; SMT disabled

Notes on the ""Linux Kernel status (SSH response)"" column:
- sysfs file missing: The sysfs interface is available but the sysfs file for this specific vulnerability is missing. This means the current Linux Kernel doesn't know this vulnerability yet. Based on this it is assumed that it doesn't provide any mitigation and that the target system is vulnerable.
- Strings including ""Mitigation:"", ""Not affected"" or ""Vulnerable"" are reported directly by the Linux Kernel.
- All other strings are responses to various SSH commands.
",1.3.6.1.4.1.25623.1.0.108840,"CVE-2018-12126,CVE-2018-12130,CVE-2018-12127,CVE-2019-11091",a9f18a8a-f6f7-4201-84d2-aaa95577056d,OpenSUSE (pre-scan),2024-04-10T04:04:33Z,08cb13e8-6ded-4af7-91a6-9b31889d9ec6,,"The following solutions exist:

  - Update to a more recent Linux Kernel to receive mitigations on Kernel level and info about
  the mitigation status from it

  - Enable the mitigation(s) in the Linux Kernel (might be disabled depending on the configuration)

  Additional possible mitigations (if provided by the vendor) are to:

  - install a Microcode update

  - update the BIOS of the Mainboard

  Note: Please create an override for this result if the sysfs file is not available but other
  mitigations like a Microcode update is already in place.",,,"Checks previous gathered information on the mitigation status
  reported by the Linux Kernel.
Details:
Missing Linux Kernel mitigations for 'MDS - Microarchitectural Data Sampling...
(OID: 1.3.6.1.4.1.25623.1.0.108840)
Version used: 2023-08-14T05:05:34Z
","Product: cpe:/a:linux:kernel
Method: Detection of Linux Kernel mitigation status for hardware vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.108765)
",,"DFN-CERT-2020-1041,DFN-CERT-2020-0069,DFN-CERT-2020-0048,DFN-CERT-2019-2374,DFN-CERT-2019-2214,DFN-CERT-2019-1985,DFN-CERT-2019-1767,DFN-CERT-2019-1414,DFN-CERT-2019-1235,DFN-CERT-2019-1200,DFN-CERT-2019-1172,DFN-CERT-2019-1151,DFN-CERT-2019-1149,DFN-CERT-2019-1122,DFN-CERT-2019-1083,DFN-CERT-2019-1036,DFN-CERT-2019-1032,DFN-CERT-2019-1026,DFN-CERT-2019-1025,DFN-CERT-2019-1024,DFN-CERT-2019-1017,DFN-CERT-2019-1012,DFN-CERT-2019-1009,DFN-CERT-2019-1005,DFN-CERT-2019-1004,DFN-CERT-2019-1003,DFN-CERT-2019-1002,DFN-CERT-2019-0994,DFN-CERT-2019-0990,DFN-CERT-2019-0989,DFN-CERT-2019-0988,DFN-CERT-2019-0987,DFN-CERT-2019-0986,DFN-CERT-2019-0977,DFN-CERT-2019-0974,DFN-CERT-2019-0971,DFN-CERT-2019-0969,DFN-CERT-2019-0950,DFN-CERT-2018-2399,WID-SEC-2023-1692,CB-K19/0414",,OpenSUSE,freshly installed
Server,,,,5.6,Medium,80,VendorFix,Missing Linux Kernel mitigations for MDS - Microarchitectural Data Sampling hardware vulnerabilities,"The remote host is missing one or more known mitigation(s) on
  Linux Kernel side for the referenced 'MDS - Microarchitectural Data Sampling' hardware
  vulnerabilities.","The Linux Kernel on the remote host is missing the mitigation for the ""mds"" hardware vulnerabilities as reported by the sysfs interface:

sysfs file checked                          | Linux Kernel status (SSH response)
-------------------------------------------------------------------------------------------------------------------
/sys/devices/system/cpu/vulnerabilities/mds | Vulnerable: Clear CPU buffers attempted, no microcode; SMT vulnerable

Notes on the ""Linux Kernel status (SSH response)"" column:
- sysfs file missing: The sysfs interface is available but the sysfs file for this specific vulnerability is missing. This means the current Linux Kernel doesn't know this vulnerability yet. Based on this it is assumed that it doesn't provide any mitigation and that the target system is vulnerable.
- Strings including ""Mitigation:"", ""Not affected"" or ""Vulnerable"" are reported directly by the Linux Kernel.
- All other strings are responses to various SSH commands.
",1.3.6.1.4.1.25623.1.0.108840,"CVE-2018-12126,CVE-2018-12130,CVE-2018-12127,CVE-2019-11091",a9f18a8a-f6f7-4201-84d2-aaa95577056d,OpenSUSE (pre-scan),2024-04-10T04:04:33Z,9f2a65f2-3206-41fd-ae9d-c234760fa095,,"The following solutions exist:

  - Update to a more recent Linux Kernel to receive mitigations on Kernel level and info about
  the mitigation status from it

  - Enable the mitigation(s) in the Linux Kernel (might be disabled depending on the configuration)

  Additional possible mitigations (if provided by the vendor) are to:

  - install a Microcode update

  - update the BIOS of the Mainboard

  Note: Please create an override for this result if the sysfs file is not available but other
  mitigations like a Microcode update is already in place.",,,"Checks previous gathered information on the mitigation status
  reported by the Linux Kernel.
Details:
Missing Linux Kernel mitigations for 'MDS - Microarchitectural Data Sampling...
(OID: 1.3.6.1.4.1.25623.1.0.108840)
Version used: 2023-08-14T05:05:34Z
","Product: cpe:/a:linux:kernel
Method: Detection of Linux Kernel mitigation status for hardware vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.108765)
",,"DFN-CERT-2020-1041,DFN-CERT-2020-0069,DFN-CERT-2020-0048,DFN-CERT-2019-2374,DFN-CERT-2019-2214,DFN-CERT-2019-1985,DFN-CERT-2019-1767,DFN-CERT-2019-1414,DFN-CERT-2019-1235,DFN-CERT-2019-1200,DFN-CERT-2019-1172,DFN-CERT-2019-1151,DFN-CERT-2019-1149,DFN-CERT-2019-1122,DFN-CERT-2019-1083,DFN-CERT-2019-1036,DFN-CERT-2019-1032,DFN-CERT-2019-1026,DFN-CERT-2019-1025,DFN-CERT-2019-1024,DFN-CERT-2019-1017,DFN-CERT-2019-1012,DFN-CERT-2019-1009,DFN-CERT-2019-1005,DFN-CERT-2019-1004,DFN-CERT-2019-1003,DFN-CERT-2019-1002,DFN-CERT-2019-0994,DFN-CERT-2019-0990,DFN-CERT-2019-0989,DFN-CERT-2019-0988,DFN-CERT-2019-0987,DFN-CERT-2019-0986,DFN-CERT-2019-0977,DFN-CERT-2019-0974,DFN-CERT-2019-0971,DFN-CERT-2019-0969,DFN-CERT-2019-0950,DFN-CERT-2018-2399,WID-SEC-2023-1692,CB-K19/0414",,OpenSUSE,freshly installed
Server,,,,5.5,Medium,80,VendorFix,Missing Linux Kernel mitigations for Processor MMIO Stale Data hardware vulnerabilities,"The remote host is missing one or more known mitigation(s) on
  Linux Kernel side for the referenced 'Processor MMIO Stale Data' hardware vulnerabilities.","The Linux Kernel on the remote host is missing the mitigation for the ""mmio_stale_data"" hardware vulnerabilities as reported by the sysfs interface:

sysfs file checked                                      | Linux Kernel status (SSH response)
-------------------------------------------------------------------------------------------------------------------------------
/sys/devices/system/cpu/vulnerabilities/mmio_stale_data | Vulnerable: Clear CPU buffers attempted, no microcode; SMT vulnerable

Notes on the ""Linux Kernel status (SSH response)"" column:
- sysfs file missing: The sysfs interface is available but the sysfs file for this specific vulnerability is missing. This means the current Linux Kernel doesn't know this vulnerability yet. Based on this it is assumed that it doesn't provide any mitigation and that the target system is vulnerable.
- Strings including ""Mitigation:"", ""Not affected"" or ""Vulnerable"" are reported directly by the Linux Kernel.
- All other strings are responses to various SSH commands.
",1.3.6.1.4.1.25623.1.0.104247,"CVE-2022-21123,CVE-2022-21125,CVE-2022-21166",a9f18a8a-f6f7-4201-84d2-aaa95577056d,OpenSUSE (pre-scan),2024-04-10T04:04:33Z,dd284c28-ac4e-491c-bb95-94133712e882,,"The following solutions exist:

  - Update to a more recent Linux Kernel to receive mitigations on Kernel level and info about
  the mitigation status from it

  - Enable the mitigation(s) in the Linux Kernel (might be disabled depending on the configuration)

  Additional possible mitigations (if provided by the vendor) are to:

  - install a Microcode update

  - update the BIOS of the Mainboard

  Note: Please create an override for this result if the sysfs file is not available but other
  mitigations like a Microcode update is already in place.",,,"Checks previous gathered information on the mitigation status
  reported by the Linux Kernel.
Details:
Missing Linux Kernel mitigations for 'Processor MMIO Stale Data' hardware vu...
(OID: 1.3.6.1.4.1.25623.1.0.104247)
Version used: 2023-08-14T05:05:34Z
","Product: cpe:/a:linux:kernel
Method: Detection of Linux Kernel mitigation status for hardware vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.108765)
",,"DFN-CERT-2023-1230,DFN-CERT-2023-0376,DFN-CERT-2022-2858,DFN-CERT-2022-2569,DFN-CERT-2022-2446,DFN-CERT-2022-2304,DFN-CERT-2022-1725,DFN-CERT-2022-1664,DFN-CERT-2022-1663,DFN-CERT-2022-1661,DFN-CERT-2022-1640,DFN-CERT-2022-1636,DFN-CERT-2022-1596,DFN-CERT-2022-1575,DFN-CERT-2022-1552,DFN-CERT-2022-1529,DFN-CERT-2022-1523,DFN-CERT-2022-1519,DFN-CERT-2022-1488,DFN-CERT-2022-1481,DFN-CERT-2022-1424,DFN-CERT-2022-1413,DFN-CERT-2022-1405,DFN-CERT-2022-1378,DFN-CERT-2022-1375,DFN-CERT-2022-1371,DFN-CERT-2022-1369,DFN-CERT-2022-1365,DFN-CERT-2022-1358,DFN-CERT-2022-1345,DFN-CERT-2022-1343,DFN-CERT-2022-1342,DFN-CERT-2022-1341,DFN-CERT-2022-1338,DFN-CERT-2022-1336,DFN-CERT-2022-1334,DFN-CERT-2022-1333,DFN-CERT-2022-1328,WID-SEC-2023-2031,WID-SEC-2023-1432,WID-SEC-2022-1767,WID-SEC-2022-0336,WID-SEC-2022-0330,WID-SEC-2022-0303",,OpenSUSE,freshly installed
Desktop,,,,2.6,Low,80,Mitigation,TCP Timestamps Information Disclosure,"The remote host implements TCP timestamps and therefore allows
  to compute the uptime.","It was detected that the host implements RFC1323/RFC7323.

The following timestamps were retrieved with a delay of 1 seconds in-between:
Packet 1: 3621812056
Packet 2: 3621813128
",1.3.6.1.4.1.25623.1.0.80091,,a9f18a8a-f6f7-4201-84d2-aaa95577056d,OpenSUSE (pre-scan),2024-04-10T04:04:33Z,32d4a048-33ab-4380-bab9-c4b3d78957c8,"A side effect of this feature is that the uptime of the remote
  host can sometimes be computed.","To disable TCP timestamps on linux add the line
  'net.ipv4.tcp_timestamps = 0' to /etc/sysctl.conf. Execute 'sysctl -p' to apply the settings at
  runtime.

  To disable TCP timestamps on Windows execute 'netsh int tcp set global timestamps=disabled'

  Starting with Windows Server 2008 and Vista, the timestamp can not be completely disabled.

  The default behavior of the TCP/IP stack on this Systems is to not use the Timestamp options when
  initiating TCP connections, but use them if the TCP peer that is initiating communication includes
  them in their synchronize (SYN) segment.

  See the references for more information.",TCP implementations that implement RFC1323/RFC7323.,"The remote host implements TCP timestamps, as defined by
  RFC1323/RFC7323.","Special IP packets are forged and sent with a little delay in
  between to the target IP. The responses are searched for a timestamps. If found, the timestamps
  are reported.
Details:
TCP Timestamps Information Disclosure
(OID: 1.3.6.1.4.1.25623.1.0.80091)
Version used: 2023-12-15T16:10:08Z
",,,,,OpenSUSE,freshly installed
Laptop,,,,2.6,Low,80,Mitigation,TCP Timestamps Information Disclosure,"The remote host implements TCP timestamps and therefore allows
  to compute the uptime.","It was detected that the host implements RFC1323/RFC7323.

The following timestamps were retrieved with a delay of 1 seconds in-between:
Packet 1: 3830325708
Packet 2: 3830326780
",1.3.6.1.4.1.25623.1.0.80091,,a9f18a8a-f6f7-4201-84d2-aaa95577056d,OpenSUSE (pre-scan),2024-04-10T04:04:33Z,12e26bac-e8b0-4efa-b93e-1084f77bbc3d,"A side effect of this feature is that the uptime of the remote
  host can sometimes be computed.","To disable TCP timestamps on linux add the line
  'net.ipv4.tcp_timestamps = 0' to /etc/sysctl.conf. Execute 'sysctl -p' to apply the settings at
  runtime.

  To disable TCP timestamps on Windows execute 'netsh int tcp set global timestamps=disabled'

  Starting with Windows Server 2008 and Vista, the timestamp can not be completely disabled.

  The default behavior of the TCP/IP stack on this Systems is to not use the Timestamp options when
  initiating TCP connections, but use them if the TCP peer that is initiating communication includes
  them in their synchronize (SYN) segment.

  See the references for more information.",TCP implementations that implement RFC1323/RFC7323.,"The remote host implements TCP timestamps, as defined by
  RFC1323/RFC7323.","Special IP packets are forged and sent with a little delay in
  between to the target IP. The responses are searched for a timestamps. If found, the timestamps
  are reported.
Details:
TCP Timestamps Information Disclosure
(OID: 1.3.6.1.4.1.25623.1.0.80091)
Version used: 2023-12-15T16:10:08Z
",,,,,OpenSUSE,freshly installed
Laptop,,22,tcp,2.6,Low,80,Mitigation,Weak MAC Algorithm(s) Supported (SSH),"The remote SSH server is configured to allow / support weak MAC
  algorithm(s).","The remote SSH server supports the following weak client-to-server MAC algorithm(s):

umac-64-etm@openssh.com
umac-64@openssh.com


The remote SSH server supports the following weak server-to-client MAC algorithm(s):

umac-64-etm@openssh.com
umac-64@openssh.com
",1.3.6.1.4.1.25623.1.0.105610,,a9f18a8a-f6f7-4201-84d2-aaa95577056d,OpenSUSE (pre-scan),2024-04-10T04:04:33Z,fe6034bf-2025-48b0-8518-3530d447a3eb,,Disable the reported weak MAC algorithm(s).,,,"Checks the supported MAC algorithms (client-to-server and
  server-to-client) of the remote SSH server.

  Currently weak MAC algorithms are defined as the following:

  - MD5 based algorithms

  - 96-bit based algorithms

  - 64-bit based algorithms

  - 'none' algorithm
Details:
Weak MAC Algorithm(s) Supported (SSH)
(OID: 1.3.6.1.4.1.25623.1.0.105610)
Version used: 2023-10-12T05:05:32Z
",,,,,OpenSUSE,freshly installed
