IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References,Distribution,State
Desktop,,,,6.4,Medium,80,VendorFix,Missing Linux Kernel mitigations for L1TF - L1 Terminal Fault hardware vulnerabilities,"The remote host is missing one or more known mitigation(s) on
  Linux Kernel side for the referenced 'L1TF - L1 Terminal Fault' hardware vulnerabilities.","The Linux Kernel on the remote host is missing the mitigation for the ""l1tf"" hardware vulnerabilities as reported by the sysfs interface:

sysfs file checked                           | Linux Kernel status (SSH response)
------------------------------------------------------------------------------------------------------------------------
/sys/devices/system/cpu/vulnerabilities/l1tf | Mitigation: PTE Inversion; VMX: conditional cache flushes, SMT vulnerable

Notes on the ""Linux Kernel status (SSH response)"" column:
- sysfs file missing: The sysfs interface is available but the sysfs file for this specific vulnerability is missing. This means the current Linux Kernel doesn't know this vulnerability yet. Based on this it is assumed that it doesn't provide any mitigation and that the target system is vulnerable.
- Strings including ""Mitigation:"", ""Not affected"" or ""Vulnerable"" are reported directly by the Linux Kernel.
- All other strings are responses to various SSH commands.
",1.3.6.1.4.1.25623.1.0.108839,"CVE-2018-3615,CVE-2018-3620,CVE-2018-3646",b8104ad7-d45f-4fe5-8280-d8077a416dc6,RHEL (post-scan),2024-04-11T03:48:56Z,dd837a53-5631-4774-b5db-6cab9ce1d36e,,"The following solutions exist:

  - Update to a more recent Linux Kernel to receive mitigations on Kernel level and info about
  the mitigation status from it

  - Enable the mitigation(s) in the Linux Kernel (might be disabled depending on the configuration)

  Additional possible mitigations (if provided by the vendor) are to:

  - install a Microcode update

  - update the BIOS of the Mainboard

  Note: Please create an override for this result if the sysfs file is not available but other
  mitigations like a Microcode update is already in place.",,,"Checks previous gathered information on the mitigation status
  reported by the Linux Kernel.
Details:
Missing Linux Kernel mitigations for 'L1TF - L1 Terminal Fault' hardware vul...
(OID: 1.3.6.1.4.1.25623.1.0.108839)
Version used: 2023-08-14T05:05:34Z
","Product: cpe:/a:linux:kernel
Method: Detection of Linux Kernel mitigation status for hardware vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.108765)
",,"DFN-CERT-2019-0740,DFN-CERT-2019-0108,DFN-CERT-2019-0069,DFN-CERT-2019-0004,DFN-CERT-2018-2554,DFN-CERT-2018-2441,DFN-CERT-2018-2399,DFN-CERT-2018-2349,DFN-CERT-2018-2217,DFN-CERT-2018-2182,DFN-CERT-2018-2072,DFN-CERT-2018-2066,DFN-CERT-2018-1982,DFN-CERT-2018-1929,DFN-CERT-2018-1869,DFN-CERT-2018-1863,DFN-CERT-2018-1822,DFN-CERT-2018-1806,DFN-CERT-2018-1782,DFN-CERT-2018-1734,DFN-CERT-2018-1722,DFN-CERT-2018-1699,DFN-CERT-2018-1677,DFN-CERT-2018-1670,DFN-CERT-2018-1666,DFN-CERT-2018-1665,DFN-CERT-2018-1661,DFN-CERT-2018-1657,DFN-CERT-2018-1656,DFN-CERT-2018-1654,DFN-CERT-2018-1653,DFN-CERT-2018-1652,DFN-CERT-2018-1651,DFN-CERT-2018-1650,DFN-CERT-2018-1637,DFN-CERT-2018-1634,DFN-CERT-2018-1632,DFN-CERT-2018-1631,DFN-CERT-2018-1629,DFN-CERT-2018-1627,DFN-CERT-2018-1625,DFN-CERT-2018-1624,DFN-CERT-2018-1623,DFN-CERT-2018-1622,DFN-CERT-2018-1621,DFN-CERT-2018-1617,DFN-CERT-2018-1615,DFN-CERT-2018-1614,DFN-CERT-2018-1605,DFN-CERT-2018-1601,CB-K19/0047,CB-K18/1050,CB-K18/0867,CB-K18/0858",,Red Hat Enterprise Linux,fully updated
Server,,,,6.4,Medium,80,VendorFix,Missing Linux Kernel mitigations for L1TF - L1 Terminal Fault hardware vulnerabilities,"The remote host is missing one or more known mitigation(s) on
  Linux Kernel side for the referenced 'L1TF - L1 Terminal Fault' hardware vulnerabilities.","The Linux Kernel on the remote host is missing the mitigation for the ""l1tf"" hardware vulnerabilities as reported by the sysfs interface:

sysfs file checked                           | Linux Kernel status (SSH response)
------------------------------------------------------------------------------------------------------------------------
/sys/devices/system/cpu/vulnerabilities/l1tf | Mitigation: PTE Inversion; VMX: conditional cache flushes, SMT vulnerable

Notes on the ""Linux Kernel status (SSH response)"" column:
- sysfs file missing: The sysfs interface is available but the sysfs file for this specific vulnerability is missing. This means the current Linux Kernel doesn't know this vulnerability yet. Based on this it is assumed that it doesn't provide any mitigation and that the target system is vulnerable.
- Strings including ""Mitigation:"", ""Not affected"" or ""Vulnerable"" are reported directly by the Linux Kernel.
- All other strings are responses to various SSH commands.
",1.3.6.1.4.1.25623.1.0.108839,"CVE-2018-3615,CVE-2018-3620,CVE-2018-3646",b8104ad7-d45f-4fe5-8280-d8077a416dc6,RHEL (post-scan),2024-04-11T03:48:56Z,6aec094f-4449-44c3-a56a-ff55185d1a54,,"The following solutions exist:

  - Update to a more recent Linux Kernel to receive mitigations on Kernel level and info about
  the mitigation status from it

  - Enable the mitigation(s) in the Linux Kernel (might be disabled depending on the configuration)

  Additional possible mitigations (if provided by the vendor) are to:

  - install a Microcode update

  - update the BIOS of the Mainboard

  Note: Please create an override for this result if the sysfs file is not available but other
  mitigations like a Microcode update is already in place.",,,"Checks previous gathered information on the mitigation status
  reported by the Linux Kernel.
Details:
Missing Linux Kernel mitigations for 'L1TF - L1 Terminal Fault' hardware vul...
(OID: 1.3.6.1.4.1.25623.1.0.108839)
Version used: 2023-08-14T05:05:34Z
","Product: cpe:/a:linux:kernel
Method: Detection of Linux Kernel mitigation status for hardware vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.108765)
",,"DFN-CERT-2019-0740,DFN-CERT-2019-0108,DFN-CERT-2019-0069,DFN-CERT-2019-0004,DFN-CERT-2018-2554,DFN-CERT-2018-2441,DFN-CERT-2018-2399,DFN-CERT-2018-2349,DFN-CERT-2018-2217,DFN-CERT-2018-2182,DFN-CERT-2018-2072,DFN-CERT-2018-2066,DFN-CERT-2018-1982,DFN-CERT-2018-1929,DFN-CERT-2018-1869,DFN-CERT-2018-1863,DFN-CERT-2018-1822,DFN-CERT-2018-1806,DFN-CERT-2018-1782,DFN-CERT-2018-1734,DFN-CERT-2018-1722,DFN-CERT-2018-1699,DFN-CERT-2018-1677,DFN-CERT-2018-1670,DFN-CERT-2018-1666,DFN-CERT-2018-1665,DFN-CERT-2018-1661,DFN-CERT-2018-1657,DFN-CERT-2018-1656,DFN-CERT-2018-1654,DFN-CERT-2018-1653,DFN-CERT-2018-1652,DFN-CERT-2018-1651,DFN-CERT-2018-1650,DFN-CERT-2018-1637,DFN-CERT-2018-1634,DFN-CERT-2018-1632,DFN-CERT-2018-1631,DFN-CERT-2018-1629,DFN-CERT-2018-1627,DFN-CERT-2018-1625,DFN-CERT-2018-1624,DFN-CERT-2018-1623,DFN-CERT-2018-1622,DFN-CERT-2018-1621,DFN-CERT-2018-1617,DFN-CERT-2018-1615,DFN-CERT-2018-1614,DFN-CERT-2018-1605,DFN-CERT-2018-1601,CB-K19/0047,CB-K18/1050,CB-K18/0867,CB-K18/0858",,Red Hat Enterprise Linux,fully updated
Desktop,,,,5.6,Medium,80,VendorFix,Missing Linux Kernel mitigations for MDS - Microarchitectural Data Sampling hardware vulnerabilities,"The remote host is missing one or more known mitigation(s) on
  Linux Kernel side for the referenced 'MDS - Microarchitectural Data Sampling' hardware
  vulnerabilities.","The Linux Kernel on the remote host is missing the mitigation for the ""mds"" hardware vulnerabilities as reported by the sysfs interface:

sysfs file checked                          | Linux Kernel status (SSH response)
-------------------------------------------------------------------------------------------
/sys/devices/system/cpu/vulnerabilities/mds | Mitigation: Clear CPU buffers; SMT vulnerable

Notes on the ""Linux Kernel status (SSH response)"" column:
- sysfs file missing: The sysfs interface is available but the sysfs file for this specific vulnerability is missing. This means the current Linux Kernel doesn't know this vulnerability yet. Based on this it is assumed that it doesn't provide any mitigation and that the target system is vulnerable.
- Strings including ""Mitigation:"", ""Not affected"" or ""Vulnerable"" are reported directly by the Linux Kernel.
- All other strings are responses to various SSH commands.
",1.3.6.1.4.1.25623.1.0.108840,"CVE-2018-12126,CVE-2018-12130,CVE-2018-12127,CVE-2019-11091",b8104ad7-d45f-4fe5-8280-d8077a416dc6,RHEL (post-scan),2024-04-11T03:48:56Z,45e07298-d35b-4d01-b5bb-1cc1746c86a3,,"The following solutions exist:

  - Update to a more recent Linux Kernel to receive mitigations on Kernel level and info about
  the mitigation status from it

  - Enable the mitigation(s) in the Linux Kernel (might be disabled depending on the configuration)

  Additional possible mitigations (if provided by the vendor) are to:

  - install a Microcode update

  - update the BIOS of the Mainboard

  Note: Please create an override for this result if the sysfs file is not available but other
  mitigations like a Microcode update is already in place.",,,"Checks previous gathered information on the mitigation status
  reported by the Linux Kernel.
Details:
Missing Linux Kernel mitigations for 'MDS - Microarchitectural Data Sampling...
(OID: 1.3.6.1.4.1.25623.1.0.108840)
Version used: 2023-08-14T05:05:34Z
","Product: cpe:/a:linux:kernel
Method: Detection of Linux Kernel mitigation status for hardware vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.108765)
",,"DFN-CERT-2020-1041,DFN-CERT-2020-0069,DFN-CERT-2020-0048,DFN-CERT-2019-2374,DFN-CERT-2019-2214,DFN-CERT-2019-1985,DFN-CERT-2019-1767,DFN-CERT-2019-1414,DFN-CERT-2019-1235,DFN-CERT-2019-1200,DFN-CERT-2019-1172,DFN-CERT-2019-1151,DFN-CERT-2019-1149,DFN-CERT-2019-1122,DFN-CERT-2019-1083,DFN-CERT-2019-1036,DFN-CERT-2019-1032,DFN-CERT-2019-1026,DFN-CERT-2019-1025,DFN-CERT-2019-1024,DFN-CERT-2019-1017,DFN-CERT-2019-1012,DFN-CERT-2019-1009,DFN-CERT-2019-1005,DFN-CERT-2019-1004,DFN-CERT-2019-1003,DFN-CERT-2019-1002,DFN-CERT-2019-0994,DFN-CERT-2019-0990,DFN-CERT-2019-0989,DFN-CERT-2019-0988,DFN-CERT-2019-0987,DFN-CERT-2019-0986,DFN-CERT-2019-0977,DFN-CERT-2019-0974,DFN-CERT-2019-0971,DFN-CERT-2019-0969,DFN-CERT-2019-0950,DFN-CERT-2018-2399,WID-SEC-2023-1692,CB-K19/0414",,Red Hat Enterprise Linux,fully updated
Server,,,,5.6,Medium,80,VendorFix,Missing Linux Kernel mitigations for MDS - Microarchitectural Data Sampling hardware vulnerabilities,"The remote host is missing one or more known mitigation(s) on
  Linux Kernel side for the referenced 'MDS - Microarchitectural Data Sampling' hardware
  vulnerabilities.","The Linux Kernel on the remote host is missing the mitigation for the ""mds"" hardware vulnerabilities as reported by the sysfs interface:

sysfs file checked                          | Linux Kernel status (SSH response)
-------------------------------------------------------------------------------------------
/sys/devices/system/cpu/vulnerabilities/mds | Mitigation: Clear CPU buffers; SMT vulnerable

Notes on the ""Linux Kernel status (SSH response)"" column:
- sysfs file missing: The sysfs interface is available but the sysfs file for this specific vulnerability is missing. This means the current Linux Kernel doesn't know this vulnerability yet. Based on this it is assumed that it doesn't provide any mitigation and that the target system is vulnerable.
- Strings including ""Mitigation:"", ""Not affected"" or ""Vulnerable"" are reported directly by the Linux Kernel.
- All other strings are responses to various SSH commands.
",1.3.6.1.4.1.25623.1.0.108840,"CVE-2018-12126,CVE-2018-12130,CVE-2018-12127,CVE-2019-11091",b8104ad7-d45f-4fe5-8280-d8077a416dc6,RHEL (post-scan),2024-04-11T03:48:56Z,dcdfbd6a-118c-4e17-ae9f-0447f04434cf,,"The following solutions exist:

  - Update to a more recent Linux Kernel to receive mitigations on Kernel level and info about
  the mitigation status from it

  - Enable the mitigation(s) in the Linux Kernel (might be disabled depending on the configuration)

  Additional possible mitigations (if provided by the vendor) are to:

  - install a Microcode update

  - update the BIOS of the Mainboard

  Note: Please create an override for this result if the sysfs file is not available but other
  mitigations like a Microcode update is already in place.",,,"Checks previous gathered information on the mitigation status
  reported by the Linux Kernel.
Details:
Missing Linux Kernel mitigations for 'MDS - Microarchitectural Data Sampling...
(OID: 1.3.6.1.4.1.25623.1.0.108840)
Version used: 2023-08-14T05:05:34Z
","Product: cpe:/a:linux:kernel
Method: Detection of Linux Kernel mitigation status for hardware vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.108765)
",,"DFN-CERT-2020-1041,DFN-CERT-2020-0069,DFN-CERT-2020-0048,DFN-CERT-2019-2374,DFN-CERT-2019-2214,DFN-CERT-2019-1985,DFN-CERT-2019-1767,DFN-CERT-2019-1414,DFN-CERT-2019-1235,DFN-CERT-2019-1200,DFN-CERT-2019-1172,DFN-CERT-2019-1151,DFN-CERT-2019-1149,DFN-CERT-2019-1122,DFN-CERT-2019-1083,DFN-CERT-2019-1036,DFN-CERT-2019-1032,DFN-CERT-2019-1026,DFN-CERT-2019-1025,DFN-CERT-2019-1024,DFN-CERT-2019-1017,DFN-CERT-2019-1012,DFN-CERT-2019-1009,DFN-CERT-2019-1005,DFN-CERT-2019-1004,DFN-CERT-2019-1003,DFN-CERT-2019-1002,DFN-CERT-2019-0994,DFN-CERT-2019-0990,DFN-CERT-2019-0989,DFN-CERT-2019-0988,DFN-CERT-2019-0987,DFN-CERT-2019-0986,DFN-CERT-2019-0977,DFN-CERT-2019-0974,DFN-CERT-2019-0971,DFN-CERT-2019-0969,DFN-CERT-2019-0950,DFN-CERT-2018-2399,WID-SEC-2023-1692,CB-K19/0414",,Red Hat Enterprise Linux,fully updated
Server,,,,5.5,Medium,80,VendorFix,Missing Linux Kernel mitigations for Processor MMIO Stale Data hardware vulnerabilities,"The remote host is missing one or more known mitigation(s) on
  Linux Kernel side for the referenced 'Processor MMIO Stale Data' hardware vulnerabilities.","The Linux Kernel on the remote host is missing the mitigation for the ""mmio_stale_data"" hardware vulnerabilities as reported by the sysfs interface:

sysfs file checked                                      | Linux Kernel status (SSH response)
-------------------------------------------------------------------------------------------------------
/sys/devices/system/cpu/vulnerabilities/mmio_stale_data | Mitigation: Clear CPU buffers; SMT vulnerable

Notes on the ""Linux Kernel status (SSH response)"" column:
- sysfs file missing: The sysfs interface is available but the sysfs file for this specific vulnerability is missing. This means the current Linux Kernel doesn't know this vulnerability yet. Based on this it is assumed that it doesn't provide any mitigation and that the target system is vulnerable.
- Strings including ""Mitigation:"", ""Not affected"" or ""Vulnerable"" are reported directly by the Linux Kernel.
- All other strings are responses to various SSH commands.
",1.3.6.1.4.1.25623.1.0.104247,"CVE-2022-21123,CVE-2022-21125,CVE-2022-21166",b8104ad7-d45f-4fe5-8280-d8077a416dc6,RHEL (post-scan),2024-04-11T03:48:56Z,4dc4178c-8c08-4162-b161-ac413f24e4ec,,"The following solutions exist:

  - Update to a more recent Linux Kernel to receive mitigations on Kernel level and info about
  the mitigation status from it

  - Enable the mitigation(s) in the Linux Kernel (might be disabled depending on the configuration)

  Additional possible mitigations (if provided by the vendor) are to:

  - install a Microcode update

  - update the BIOS of the Mainboard

  Note: Please create an override for this result if the sysfs file is not available but other
  mitigations like a Microcode update is already in place.",,,"Checks previous gathered information on the mitigation status
  reported by the Linux Kernel.
Details:
Missing Linux Kernel mitigations for 'Processor MMIO Stale Data' hardware vu...
(OID: 1.3.6.1.4.1.25623.1.0.104247)
Version used: 2023-08-14T05:05:34Z
","Product: cpe:/a:linux:kernel
Method: Detection of Linux Kernel mitigation status for hardware vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.108765)
",,"DFN-CERT-2023-1230,DFN-CERT-2023-0376,DFN-CERT-2022-2858,DFN-CERT-2022-2569,DFN-CERT-2022-2446,DFN-CERT-2022-2304,DFN-CERT-2022-1725,DFN-CERT-2022-1664,DFN-CERT-2022-1663,DFN-CERT-2022-1661,DFN-CERT-2022-1640,DFN-CERT-2022-1636,DFN-CERT-2022-1596,DFN-CERT-2022-1575,DFN-CERT-2022-1552,DFN-CERT-2022-1529,DFN-CERT-2022-1523,DFN-CERT-2022-1519,DFN-CERT-2022-1488,DFN-CERT-2022-1481,DFN-CERT-2022-1424,DFN-CERT-2022-1413,DFN-CERT-2022-1405,DFN-CERT-2022-1378,DFN-CERT-2022-1375,DFN-CERT-2022-1371,DFN-CERT-2022-1369,DFN-CERT-2022-1365,DFN-CERT-2022-1358,DFN-CERT-2022-1345,DFN-CERT-2022-1343,DFN-CERT-2022-1342,DFN-CERT-2022-1341,DFN-CERT-2022-1338,DFN-CERT-2022-1336,DFN-CERT-2022-1334,DFN-CERT-2022-1333,DFN-CERT-2022-1328,WID-SEC-2023-2031,WID-SEC-2023-1432,WID-SEC-2022-1767,WID-SEC-2022-0336,WID-SEC-2022-0330,WID-SEC-2022-0303",,Red Hat Enterprise Linux,fully updated
Laptop,,,,2.6,Low,80,Mitigation,TCP Timestamps Information Disclosure,"The remote host implements TCP timestamps and therefore allows
  to compute the uptime.","It was detected that the host implements RFC1323/RFC7323.

The following timestamps were retrieved with a delay of 1 seconds in-between:
Packet 1: 2184422486
Packet 2: 2184423545
",1.3.6.1.4.1.25623.1.0.80091,,b8104ad7-d45f-4fe5-8280-d8077a416dc6,RHEL (post-scan),2024-04-11T03:48:56Z,b94113be-b803-4ace-a46b-0ff5559681d1,"A side effect of this feature is that the uptime of the remote
  host can sometimes be computed.","To disable TCP timestamps on linux add the line
  'net.ipv4.tcp_timestamps = 0' to /etc/sysctl.conf. Execute 'sysctl -p' to apply the settings at
  runtime.

  To disable TCP timestamps on Windows execute 'netsh int tcp set global timestamps=disabled'

  Starting with Windows Server 2008 and Vista, the timestamp can not be completely disabled.

  The default behavior of the TCP/IP stack on this Systems is to not use the Timestamp options when
  initiating TCP connections, but use them if the TCP peer that is initiating communication includes
  them in their synchronize (SYN) segment.

  See the references for more information.",TCP implementations that implement RFC1323/RFC7323.,"The remote host implements TCP timestamps, as defined by
  RFC1323/RFC7323.","Special IP packets are forged and sent with a little delay in
  between to the target IP. The responses are searched for a timestamps. If found, the timestamps
  are reported.
Details:
TCP Timestamps Information Disclosure
(OID: 1.3.6.1.4.1.25623.1.0.80091)
Version used: 2023-12-15T16:10:08Z
",,,,,Red Hat Enterprise Linux,fully updated
Server,,,,2.6,Low,80,Mitigation,TCP Timestamps Information Disclosure,"The remote host implements TCP timestamps and therefore allows
  to compute the uptime.","It was detected that the host implements RFC1323/RFC7323.

The following timestamps were retrieved with a delay of 1 seconds in-between:
Packet 1: 2103900062
Packet 2: 2103901130
",1.3.6.1.4.1.25623.1.0.80091,,b8104ad7-d45f-4fe5-8280-d8077a416dc6,RHEL (post-scan),2024-04-11T03:48:56Z,433817b8-dc3a-4444-82d8-e0ff495b11f1,"A side effect of this feature is that the uptime of the remote
  host can sometimes be computed.","To disable TCP timestamps on linux add the line
  'net.ipv4.tcp_timestamps = 0' to /etc/sysctl.conf. Execute 'sysctl -p' to apply the settings at
  runtime.

  To disable TCP timestamps on Windows execute 'netsh int tcp set global timestamps=disabled'

  Starting with Windows Server 2008 and Vista, the timestamp can not be completely disabled.

  The default behavior of the TCP/IP stack on this Systems is to not use the Timestamp options when
  initiating TCP connections, but use them if the TCP peer that is initiating communication includes
  them in their synchronize (SYN) segment.

  See the references for more information.",TCP implementations that implement RFC1323/RFC7323.,"The remote host implements TCP timestamps, as defined by
  RFC1323/RFC7323.","Special IP packets are forged and sent with a little delay in
  between to the target IP. The responses are searched for a timestamps. If found, the timestamps
  are reported.
Details:
TCP Timestamps Information Disclosure
(OID: 1.3.6.1.4.1.25623.1.0.80091)
Version used: 2023-12-15T16:10:08Z
",,,,,Red Hat Enterprise Linux,fully updated
Desktop,,,,2.6,Low,80,Mitigation,TCP Timestamps Information Disclosure,"The remote host implements TCP timestamps and therefore allows
  to compute the uptime.","It was detected that the host implements RFC1323/RFC7323.

The following timestamps were retrieved with a delay of 1 seconds in-between:
Packet 1: 1129359051
Packet 2: 1129360123
",1.3.6.1.4.1.25623.1.0.80091,,b8104ad7-d45f-4fe5-8280-d8077a416dc6,RHEL (post-scan),2024-04-11T03:48:56Z,169f8e41-c40d-4df0-8922-a31d2e712aa8,"A side effect of this feature is that the uptime of the remote
  host can sometimes be computed.","To disable TCP timestamps on linux add the line
  'net.ipv4.tcp_timestamps = 0' to /etc/sysctl.conf. Execute 'sysctl -p' to apply the settings at
  runtime.

  To disable TCP timestamps on Windows execute 'netsh int tcp set global timestamps=disabled'

  Starting with Windows Server 2008 and Vista, the timestamp can not be completely disabled.

  The default behavior of the TCP/IP stack on this Systems is to not use the Timestamp options when
  initiating TCP connections, but use them if the TCP peer that is initiating communication includes
  them in their synchronize (SYN) segment.

  See the references for more information.",TCP implementations that implement RFC1323/RFC7323.,"The remote host implements TCP timestamps, as defined by
  RFC1323/RFC7323.","Special IP packets are forged and sent with a little delay in
  between to the target IP. The responses are searched for a timestamps. If found, the timestamps
  are reported.
Details:
TCP Timestamps Information Disclosure
(OID: 1.3.6.1.4.1.25623.1.0.80091)
Version used: 2023-12-15T16:10:08Z
",,,,,Red Hat Enterprise Linux,fully updated
Laptop,,,,2.1,Low,80,Mitigation,ICMP Timestamp Reply Information Disclosure,The remote host responded to an ICMP timestamp request.,"The following response / ICMP packet has been received:
- ICMP Type: 14
- ICMP Code: 0
",1.3.6.1.4.1.25623.1.0.103190,CVE-1999-0524,b8104ad7-d45f-4fe5-8280-d8077a416dc6,RHEL (post-scan),2024-04-11T03:48:56Z,2577e2d2-690d-4660-9ede-166694e86f1c,"This information could theoretically be used to exploit weak
  time-based random number generators in other services.","Various mitigations are possible:

  - Disable the support for ICMP timestamp on the remote host completely

  - Protect the remote host by a firewall, and block ICMP packets passing through the firewall in
  either direction (either completely or only for untrusted networks)",,"The Timestamp Reply is an ICMP message which replies to a
  Timestamp message. It consists of the originating timestamp sent by the sender of the Timestamp as
  well as a receive timestamp and a transmit timestamp.","Sends an ICMP Timestamp (Type 13) request and checks if a
  Timestamp Reply (Type 14) is received.
Details:
ICMP Timestamp Reply Information Disclosure
(OID: 1.3.6.1.4.1.25623.1.0.103190)
Version used: 2023-05-11T09:09:33Z
",,,"DFN-CERT-2014-0658,CB-K15/1514,CB-K14/0632",,Red Hat Enterprise Linux,fully updated
Desktop,,,,2.1,Low,80,Mitigation,ICMP Timestamp Reply Information Disclosure,The remote host responded to an ICMP timestamp request.,"The following response / ICMP packet has been received:
- ICMP Type: 14
- ICMP Code: 0
",1.3.6.1.4.1.25623.1.0.103190,CVE-1999-0524,b8104ad7-d45f-4fe5-8280-d8077a416dc6,RHEL (post-scan),2024-04-11T03:48:56Z,6749bae6-9261-4811-8e9c-c973b7194551,"This information could theoretically be used to exploit weak
  time-based random number generators in other services.","Various mitigations are possible:

  - Disable the support for ICMP timestamp on the remote host completely

  - Protect the remote host by a firewall, and block ICMP packets passing through the firewall in
  either direction (either completely or only for untrusted networks)",,"The Timestamp Reply is an ICMP message which replies to a
  Timestamp message. It consists of the originating timestamp sent by the sender of the Timestamp as
  well as a receive timestamp and a transmit timestamp.","Sends an ICMP Timestamp (Type 13) request and checks if a
  Timestamp Reply (Type 14) is received.
Details:
ICMP Timestamp Reply Information Disclosure
(OID: 1.3.6.1.4.1.25623.1.0.103190)
Version used: 2023-05-11T09:09:33Z
",,,"DFN-CERT-2014-0658,CB-K15/1514,CB-K14/0632",,Red Hat Enterprise Linux,fully updated
