IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References,Distribution,State
Desktop,,,,9.8,High,97,VendorFix,Ubuntu: Security Advisory (USN-6517-1),The remote host is missing an update for the 'perl' package(s) announced via the USN-6517-1 advisory.,"
Vulnerable package:   perl
Installed version:    perl-5.36.0-9ubuntu1
Fixed version:      >=perl-5.36.0-9ubuntu1.1
",1.3.6.1.4.1.25623.1.1.12.2023.6517.1,"CVE-2022-48522,CVE-2023-47038",9f3f466a-a10f-463a-87ba-9ed082eaaa80,Ubuntu (pre-scan),2024-04-11T14:47:21Z,4d958c9c-79bc-4642-b753-657d770ac1ad,,Please install the updated package(s).,"'perl' package(s) on Ubuntu 20.04, Ubuntu 22.04, Ubuntu 23.04, Ubuntu 23.10.","It was discovered that Perl incorrectly handled printing certain warning
messages. An attacker could possibly use this issue to cause Perl to
consume resources, leading to a denial of service. This issue only affected
Ubuntu 22.04 LTS. (CVE-2022-48522)

Nathan Mills discovered that Perl incorrectly handled certain regular
expressions. An attacker could use this issue to cause Perl to crash,
resulting in a denial of service, or possibly execute arbitrary code.
(CVE-2023-47038)","Checks if a vulnerable package version is present on the target host.
Details:
Ubuntu: Security Advisory (USN-6517-1)
(OID: 1.3.6.1.4.1.25623.1.1.12.2023.6517.1)
Version used: 2024-02-02T04:09:01Z
",,,"DFN-CERT-2024-0491,DFN-CERT-2024-0469,DFN-CERT-2023-2982,DFN-CERT-2023-2981,WID-SEC-2023-3007,WID-SEC-2023-2113",,Ubuntu,freshly installed
Laptop,,,,9.8,High,97,VendorFix,Ubuntu: Security Advisory (USN-6429-3),The remote host is missing an update for the 'curl' package(s) announced via the USN-6429-3 advisory.,"
Vulnerable package:   libcurl3-gnutls
Installed version:    libcurl3-gnutls-8.2.1-1ubuntu3
Fixed version:      >=libcurl3-gnutls-8.2.1-1ubuntu3.1

Vulnerable package:   libcurl4
Installed version:    libcurl4-8.2.1-1ubuntu3
Fixed version:      >=libcurl4-8.2.1-1ubuntu3.1
",1.3.6.1.4.1.25623.1.1.12.2023.6429.3,"CVE-2023-38545,CVE-2023-38546",9f3f466a-a10f-463a-87ba-9ed082eaaa80,Ubuntu (pre-scan),2024-04-11T14:47:21Z,9ee8e041-e295-4fd1-9171-0f0897a16ce8,,Please install the updated package(s).,'curl' package(s) on Ubuntu 23.10.,"USN-6429-1 fixed vulnerabilities in curl. This update provides the
corresponding updates for Ubuntu 23.10.

Original advisory details:

 Jay Satiro discovered that curl incorrectly handled hostnames when using a
 SOCKS5 proxy. In environments where curl is configured to use a SOCKS5
 proxy, a remote attacker could possibly use this issue to execute arbitrary
 code. This issue only affected Ubuntu 22.04 LTS, and Ubuntu 23.04.
 (CVE-2023-38545)

 It was discovered that curl incorrectly handled cookies when an application
 duplicated certain handles. A local attacker could possibly create a cookie
 file and inject arbitrary cookies into subsequent connections.
 (CVE-2023-38546)","Checks if a vulnerable package version is present on the target host.
Details:
Ubuntu: Security Advisory (USN-6429-3)
(OID: 1.3.6.1.4.1.25623.1.1.12.2023.6429.3)
Version used: 2024-02-02T04:09:01Z
",,,"DFN-CERT-2024-0869,DFN-CERT-2024-0376,DFN-CERT-2024-0185,DFN-CERT-2024-0184,DFN-CERT-2024-0181,DFN-CERT-2024-0133,DFN-CERT-2024-0132,DFN-CERT-2024-0127,DFN-CERT-2023-3124,DFN-CERT-2023-3071,DFN-CERT-2023-3064,DFN-CERT-2023-2988,DFN-CERT-2023-2941,DFN-CERT-2023-2763,DFN-CERT-2023-2680,DFN-CERT-2023-2643,DFN-CERT-2023-2536,DFN-CERT-2023-2475,DFN-CERT-2023-2458,WID-SEC-2024-0290,WID-SEC-2024-0178,WID-SEC-2024-0175,WID-SEC-2024-0123,WID-SEC-2024-0119,WID-SEC-2024-0110,WID-SEC-2023-2788,WID-SEC-2023-2690,WID-SEC-2023-2570",,Ubuntu,freshly installed
Laptop,,,,9.8,High,97,VendorFix,Ubuntu: Security Advisory (USN-6522-1),The remote host is missing an update for the 'freerdp2' package(s) announced via the USN-6522-1 advisory.,"
Vulnerable package:   libfreerdp2-2
Installed version:    libfreerdp2-2-2.10.0+dfsg1-1.1ubuntu1
Fixed version:      >=libfreerdp2-2-2.10.0+dfsg1-1.1ubuntu1.1
",1.3.6.1.4.1.25623.1.1.12.2023.6522.1,"CVE-2022-41877,CVE-2023-39352,CVE-2023-39356",9f3f466a-a10f-463a-87ba-9ed082eaaa80,Ubuntu (pre-scan),2024-04-11T14:47:21Z,74a8575e-9bef-4818-90e4-3348b73b0162,,Please install the updated package(s).,"'freerdp2' package(s) on Ubuntu 20.04, Ubuntu 22.04, Ubuntu 23.04, Ubuntu 23.10.","It was discovered that FreeRDP incorrectly handled drive redirection. If a
user were tricked into connection to a malicious server, a remote attacker
could use this issue to cause FreeRDP to crash, resulting in a denial of
service, or possibly obtain sensitive information. (CVE-2022-41877)

It was discovered that FreeRDP incorrectly handled certain surface updates.
A remote attacker could use this issue to cause FreeRDP to crash, resulting
in a denial of service, or possibly execute arbitrary code.
(CVE-2023-39352, CVE-2023-39356)","Checks if a vulnerable package version is present on the target host.
Details:
Ubuntu: Security Advisory (USN-6522-1)
(OID: 1.3.6.1.4.1.25623.1.1.12.2023.6522.1)
Version used: 2024-02-02T04:09:01Z
",,,"DFN-CERT-2023-3005,DFN-CERT-2023-3001,DFN-CERT-2023-2897,DFN-CERT-2023-2420,DFN-CERT-2023-2045,DFN-CERT-2023-0328,DFN-CERT-2022-2725,WID-SEC-2023-2251,WID-SEC-2023-1185",,Ubuntu,freshly installed
Laptop,,,,9.8,High,97,VendorFix,Ubuntu: Security Advisory (USN-6587-1),"The remote host is missing an update for the 'xorg-server, xwayland' package(s) announced via the USN-6587-1 advisory.","
Vulnerable package:   xserver-xorg-core
Installed version:    xserver-xorg-core-2:21.1.7-3ubuntu2
Fixed version:      >=xserver-xorg-core-2:21.1.7-3ubuntu2.6

Vulnerable package:   xwayland
Installed version:    xwayland-2:23.2.0-1
Fixed version:      >=xwayland-2:23.2.0-1ubuntu0.4
",1.3.6.1.4.1.25623.1.1.12.2024.6587.1,"CVE-2023-6816,CVE-2024-0229,CVE-2024-0408,CVE-2024-0409,CVE-2024-21885,CVE-2024-21886",9f3f466a-a10f-463a-87ba-9ed082eaaa80,Ubuntu (pre-scan),2024-04-11T14:47:21Z,a7be5a95-fe9f-45b9-92bf-176c63e90b71,,Please install the updated package(s).,"'xorg-server, xwayland' package(s) on Ubuntu 20.04, Ubuntu 22.04, Ubuntu 23.04, Ubuntu 23.10.","Jan-Niklas Sohn discovered that the X.Org X Server incorrectly handled
memory when processing the DeviceFocusEvent and ProcXIQueryPointer APIs. An
attacker could possibly use this issue to cause the X Server to crash,
obtain sensitive information, or execute arbitrary code. (CVE-2023-6816)

Jan-Niklas Sohn discovered that the X.Org X Server incorrectly handled
reattaching to a different master device. An attacker could use this issue
to cause the X Server to crash, leading to a denial of service, or possibly
execute arbitrary code. (CVE-2024-0229)

Olivier Fourdan and Donn Seeley discovered that the X.Org X Server
incorrectly labeled GLX PBuffers when used with SELinux. An attacker could
use this issue to cause the X Server to crash, leading to a denial of
service. (CVE-2024-0408)

Olivier Fourdan discovered that the X.Org X Server incorrectly handled
the curser code when used with SELinux. An attacker could use this issue to
cause the X Server to crash, leading to a denial of service.
(CVE-2024-0409)

Jan-Niklas Sohn discovered that the X.Org X Server incorrectly handled
memory when processing the XISendDeviceHierarchyEvent API. An attacker
could possibly use this issue to cause the X Server to crash, or execute
arbitrary code. (CVE-2024-21885)

Jan-Niklas Sohn discovered that the X.Org X Server incorrectly handled
devices being disabled. An attacker could possibly use this issue to cause
the X Server to crash, or execute arbitrary code. (CVE-2024-21886)","Checks if a vulnerable package version is present on the target host.
Details:
Ubuntu: Security Advisory (USN-6587-1)
(OID: 1.3.6.1.4.1.25623.1.1.12.2024.6587.1)
Version used: 2024-02-02T04:09:01Z
",,,"DFN-CERT-2024-0212,DFN-CERT-2024-0141,DFN-CERT-2024-0130,WID-SEC-2024-0127",,Ubuntu,freshly installed
Laptop,,,,9.8,High,97,VendorFix,Ubuntu: Security Advisory (USN-6587-3),"The remote host is missing an update for the 'xorg-server, xwayland' package(s) announced via the USN-6587-3 advisory.","
Vulnerable package:   xserver-xorg-core
Installed version:    xserver-xorg-core-2:21.1.7-3ubuntu2
Fixed version:      >=xserver-xorg-core-2:21.1.7-3ubuntu2.7
",1.3.6.1.4.1.25623.1.1.12.2024.6587.3,"CVE-2023-6816,CVE-2024-0229,CVE-2024-0408,CVE-2024-0409,CVE-2024-21885,CVE-2024-21886",9f3f466a-a10f-463a-87ba-9ed082eaaa80,Ubuntu (pre-scan),2024-04-11T14:47:21Z,36867dbc-1f3a-4d7e-890a-a3185a56053c,,Please install the updated package(s).,"'xorg-server, xwayland' package(s) on Ubuntu 20.04, Ubuntu 22.04, Ubuntu 23.10.","USN-6587-1 fixed vulnerabilities in X.Org X Server. The fix was incomplete
resulting in a possible regression. This update fixes the problem.

We apologize for the inconvenience.

Original advisory details:

 Jan-Niklas Sohn discovered that the X.Org X Server incorrectly handled
 memory when processing the DeviceFocusEvent and ProcXIQueryPointer APIs. An
 attacker could possibly use this issue to cause the X Server to crash,
 obtain sensitive information, or execute arbitrary code. (CVE-2023-6816)

 Jan-Niklas Sohn discovered that the X.Org X Server incorrectly handled
 reattaching to a different master device. An attacker could use this issue
 to cause the X Server to crash, leading to a denial of service, or possibly
 execute arbitrary code. (CVE-2024-0229)

 Olivier Fourdan and Donn Seeley discovered that the X.Org X Server
 incorrectly labeled GLX PBuffers when used with SELinux. An attacker could
 use this issue to cause the X Server to crash, leading to a denial of
 service. (CVE-2024-0408)

 Olivier Fourdan discovered that the X.Org X Server incorrectly handled
 the curser code when used with SELinux. An attacker could use this issue to
 cause the X Server to crash, leading to a denial of service.
 (CVE-2024-0409)

 Jan-Niklas Sohn discovered that the X.Org X Server incorrectly handled
 memory when processing the XISendDeviceHierarchyEvent API. An attacker
 could possibly use this issue to cause the X Server to crash, or execute
 arbitrary code. (CVE-2024-21885)

 Jan-Niklas Sohn discovered that the X.Org X Server incorrectly handled
 devices being disabled. An attacker could possibly use this issue to cause
 the X Server to crash, or execute arbitrary code. (CVE-2024-21886)","Checks if a vulnerable package version is present on the target host.
Details:
Ubuntu: Security Advisory (USN-6587-3)
(OID: 1.3.6.1.4.1.25623.1.1.12.2024.6587.3)
Version used: 2024-02-02T04:09:01Z
",,,"DFN-CERT-2024-0212,DFN-CERT-2024-0141,DFN-CERT-2024-0130,WID-SEC-2024-0127",,Ubuntu,freshly installed
Laptop,,,,9.8,High,97,VendorFix,Ubuntu: Security Advisory (USN-6484-1),The remote host is missing an update for the 'openvpn' package(s) announced via the USN-6484-1 advisory.,"
Vulnerable package:   openvpn
Installed version:    openvpn-2.6.5-0ubuntu1
Fixed version:      >=openvpn-2.6.5-0ubuntu1.1
",1.3.6.1.4.1.25623.1.1.12.2023.6484.1,"CVE-2023-46849,CVE-2023-46850",9f3f466a-a10f-463a-87ba-9ed082eaaa80,Ubuntu (pre-scan),2024-04-11T14:47:21Z,8a966614-5d84-44c9-9f23-8a4fa34be081,,Please install the updated package(s).,"'openvpn' package(s) on Ubuntu 23.04, Ubuntu 23.10.","It was discovered that OpenVPN incorrectly handled the --fragment option
in certain configurations. A remote attacker could possibly use this issue
to cause OpenVPN to crash, resulting in a denial of service.
(CVE-2023-46849)

It was discovered that OpenVPN incorrectly handled certain memory
operations. A remote attacker could use this issue to cause OpenVPN to
crash, obtain sensitive information, or possibly execute arbitrary code.
(CVE-2023-46850)","Checks if a vulnerable package version is present on the target host.
Details:
Ubuntu: Security Advisory (USN-6484-1)
(OID: 1.3.6.1.4.1.25623.1.1.12.2023.6484.1)
Version used: 2024-02-02T04:09:01Z
",,,"DFN-CERT-2023-2790,WID-SEC-2023-2872",,Ubuntu,freshly installed
Laptop,,,,9.8,High,97,VendorFix,Ubuntu: Security Advisory (USN-6517-1),The remote host is missing an update for the 'perl' package(s) announced via the USN-6517-1 advisory.,"
Vulnerable package:   perl
Installed version:    perl-5.36.0-9ubuntu1
Fixed version:      >=perl-5.36.0-9ubuntu1.1
",1.3.6.1.4.1.25623.1.1.12.2023.6517.1,"CVE-2022-48522,CVE-2023-47038",9f3f466a-a10f-463a-87ba-9ed082eaaa80,Ubuntu (pre-scan),2024-04-11T14:47:21Z,a41ff80f-980e-4a70-8bc5-7fdf46df0214,,Please install the updated package(s).,"'perl' package(s) on Ubuntu 20.04, Ubuntu 22.04, Ubuntu 23.04, Ubuntu 23.10.","It was discovered that Perl incorrectly handled printing certain warning
messages. An attacker could possibly use this issue to cause Perl to
consume resources, leading to a denial of service. This issue only affected
Ubuntu 22.04 LTS. (CVE-2022-48522)

Nathan Mills discovered that Perl incorrectly handled certain regular
expressions. An attacker could use this issue to cause Perl to crash,
resulting in a denial of service, or possibly execute arbitrary code.
(CVE-2023-47038)","Checks if a vulnerable package version is present on the target host.
Details:
Ubuntu: Security Advisory (USN-6517-1)
(OID: 1.3.6.1.4.1.25623.1.1.12.2023.6517.1)
Version used: 2024-02-02T04:09:01Z
",,,"DFN-CERT-2024-0491,DFN-CERT-2024-0469,DFN-CERT-2023-2982,DFN-CERT-2023-2981,WID-SEC-2023-3007,WID-SEC-2023-2113",,Ubuntu,freshly installed
Server,,,,9.8,High,97,VendorFix,Ubuntu: Security Advisory (USN-6429-3),The remote host is missing an update for the 'curl' package(s) announced via the USN-6429-3 advisory.,"
Vulnerable package:   libcurl3-gnutls
Installed version:    libcurl3-gnutls-8.2.1-1ubuntu3
Fixed version:      >=libcurl3-gnutls-8.2.1-1ubuntu3.1

Vulnerable package:   libcurl4
Installed version:    libcurl4-8.2.1-1ubuntu3
Fixed version:      >=libcurl4-8.2.1-1ubuntu3.1
",1.3.6.1.4.1.25623.1.1.12.2023.6429.3,"CVE-2023-38545,CVE-2023-38546",9f3f466a-a10f-463a-87ba-9ed082eaaa80,Ubuntu (pre-scan),2024-04-11T14:47:21Z,67613351-25c2-4f58-aa2b-4bf05817eae4,,Please install the updated package(s).,'curl' package(s) on Ubuntu 23.10.,"USN-6429-1 fixed vulnerabilities in curl. This update provides the
corresponding updates for Ubuntu 23.10.

Original advisory details:

 Jay Satiro discovered that curl incorrectly handled hostnames when using a
 SOCKS5 proxy. In environments where curl is configured to use a SOCKS5
 proxy, a remote attacker could possibly use this issue to execute arbitrary
 code. This issue only affected Ubuntu 22.04 LTS, and Ubuntu 23.04.
 (CVE-2023-38545)

 It was discovered that curl incorrectly handled cookies when an application
 duplicated certain handles. A local attacker could possibly create a cookie
 file and inject arbitrary cookies into subsequent connections.
 (CVE-2023-38546)","Checks if a vulnerable package version is present on the target host.
Details:
Ubuntu: Security Advisory (USN-6429-3)
(OID: 1.3.6.1.4.1.25623.1.1.12.2023.6429.3)
Version used: 2024-02-02T04:09:01Z
",,,"DFN-CERT-2024-0869,DFN-CERT-2024-0376,DFN-CERT-2024-0185,DFN-CERT-2024-0184,DFN-CERT-2024-0181,DFN-CERT-2024-0133,DFN-CERT-2024-0132,DFN-CERT-2024-0127,DFN-CERT-2023-3124,DFN-CERT-2023-3071,DFN-CERT-2023-3064,DFN-CERT-2023-2988,DFN-CERT-2023-2941,DFN-CERT-2023-2763,DFN-CERT-2023-2680,DFN-CERT-2023-2643,DFN-CERT-2023-2536,DFN-CERT-2023-2475,DFN-CERT-2023-2458,WID-SEC-2024-0290,WID-SEC-2024-0178,WID-SEC-2024-0175,WID-SEC-2024-0123,WID-SEC-2024-0119,WID-SEC-2024-0110,WID-SEC-2023-2788,WID-SEC-2023-2690,WID-SEC-2023-2570",,Ubuntu,freshly installed
Server,,,,9.8,High,97,VendorFix,Ubuntu: Security Advisory (USN-6522-1),The remote host is missing an update for the 'freerdp2' package(s) announced via the USN-6522-1 advisory.,"
Vulnerable package:   libfreerdp2-2
Installed version:    libfreerdp2-2-2.10.0+dfsg1-1.1ubuntu1
Fixed version:      >=libfreerdp2-2-2.10.0+dfsg1-1.1ubuntu1.1
",1.3.6.1.4.1.25623.1.1.12.2023.6522.1,"CVE-2022-41877,CVE-2023-39352,CVE-2023-39356",9f3f466a-a10f-463a-87ba-9ed082eaaa80,Ubuntu (pre-scan),2024-04-11T14:47:21Z,e4bf7bfc-2dd5-4c5f-ac36-632741890909,,Please install the updated package(s).,"'freerdp2' package(s) on Ubuntu 20.04, Ubuntu 22.04, Ubuntu 23.04, Ubuntu 23.10.","It was discovered that FreeRDP incorrectly handled drive redirection. If a
user were tricked into connection to a malicious server, a remote attacker
could use this issue to cause FreeRDP to crash, resulting in a denial of
service, or possibly obtain sensitive information. (CVE-2022-41877)

It was discovered that FreeRDP incorrectly handled certain surface updates.
A remote attacker could use this issue to cause FreeRDP to crash, resulting
in a denial of service, or possibly execute arbitrary code.
(CVE-2023-39352, CVE-2023-39356)","Checks if a vulnerable package version is present on the target host.
Details:
Ubuntu: Security Advisory (USN-6522-1)
(OID: 1.3.6.1.4.1.25623.1.1.12.2023.6522.1)
Version used: 2024-02-02T04:09:01Z
",,,"DFN-CERT-2023-3005,DFN-CERT-2023-3001,DFN-CERT-2023-2897,DFN-CERT-2023-2420,DFN-CERT-2023-2045,DFN-CERT-2023-0328,DFN-CERT-2022-2725,WID-SEC-2023-2251,WID-SEC-2023-1185",,Ubuntu,freshly installed
Server,,,,9.8,High,97,VendorFix,Ubuntu: Security Advisory (USN-6560-1),The remote host is missing an update for the 'openssh' package(s) announced via the USN-6560-1 advisory.,"
Vulnerable package:   openssh-client
Installed version:    openssh-client-1:9.3p1-1ubuntu3
Fixed version:      >=openssh-client-1:9.3p1-1ubuntu3.1

Vulnerable package:   openssh-server
Installed version:    openssh-server-1:9.3p1-1ubuntu3
Fixed version:      >=openssh-server-1:9.3p1-1ubuntu3.1
",1.3.6.1.4.1.25623.1.1.12.2023.6560.1,"CVE-2023-28531,CVE-2023-48795",9f3f466a-a10f-463a-87ba-9ed082eaaa80,Ubuntu (pre-scan),2024-04-11T14:47:21Z,ae18478f-a513-45db-aa60-83dff411b8bb,,Please install the updated package(s).,"'openssh' package(s) on Ubuntu 20.04, Ubuntu 22.04, Ubuntu 23.04, Ubuntu 23.10.","Fabian Baumer, Marcus Brinkmann, Jorg Schwenk discovered that the SSH
protocol was vulnerable to a prefix truncation attack. If a remote attacker
was able to intercept SSH communications, extension negotiation messages
could be truncated, possibly leading to certain algorithms and features
being downgraded. This issue is known as the Terrapin attack. This update
adds protocol extensions to mitigate this issue. (CVE-2023-48795)

Luci Stanescu discovered that OpenSSH incorrectly added destination
constraints when smartcard keys were added to ssh-agent, contrary to
expectations. This issue only affected Ubuntu 22.04 LTS, and Ubuntu 23.04.
(CVE-2023-28531)","Checks if a vulnerable package version is present on the target host.
Details:
Ubuntu: Security Advisory (USN-6560-1)
(OID: 1.3.6.1.4.1.25623.1.1.12.2023.6560.1)
Version used: 2024-02-02T04:09:01Z
",,,"DFN-CERT-2024-0779,DFN-CERT-2024-0762,DFN-CERT-2024-0744,DFN-CERT-2024-0698,DFN-CERT-2024-0633,DFN-CERT-2024-0619,DFN-CERT-2024-0618,DFN-CERT-2024-0616,DFN-CERT-2024-0597,DFN-CERT-2024-0545,DFN-CERT-2024-0526,DFN-CERT-2024-0491,DFN-CERT-2024-0451,DFN-CERT-2024-0440,DFN-CERT-2024-0420,DFN-CERT-2024-0388,DFN-CERT-2024-0343,DFN-CERT-2024-0341,DFN-CERT-2024-0306,DFN-CERT-2024-0299,DFN-CERT-2024-0285,DFN-CERT-2024-0267,DFN-CERT-2024-0251,DFN-CERT-2024-0215,DFN-CERT-2024-0211,DFN-CERT-2024-0164,DFN-CERT-2024-0154,DFN-CERT-2024-0101,DFN-CERT-2024-0092,DFN-CERT-2024-0088,DFN-CERT-2024-0067,DFN-CERT-2024-0063,DFN-CERT-2024-0062,DFN-CERT-2024-0024,DFN-CERT-2024-0013,DFN-CERT-2023-3219,DFN-CERT-2023-3218,DFN-CERT-2023-3210,DFN-CERT-2023-3201,DFN-CERT-2023-3200,DFN-CERT-2023-3195,DFN-CERT-2023-3193,DFN-CERT-2023-3191,DFN-CERT-2023-3185,DFN-CERT-2023-3184,DFN-CERT-2023-3183,DFN-CERT-2023-3182,DFN-CERT-2023-3175,DFN-CERT-2023-1424,WID-SEC-2024-0578,WID-SEC-2024-0564,WID-SEC-2024-0523,WID-SEC-2023-3174,WID-SEC-2023-0670",,Ubuntu,freshly installed
