Asset IP Address,Service Port,Vulnerability Test Result Code,Vulnerability ID,Vulnerability CVE IDs,Vulnerability Severity Level,Vulnerability Title,Distribution,State
Laptop,0,ve,linux-icmp-redirect,,7,ICMP redirection enabled,Kali Linux,fully updated
Laptop,22,vv,ssh-weak-message-authentication-code-algorithms,,4,SSH Weak Message Authentication Code Algorithms,Kali Linux,fully updated
Laptop,0,ve,unix-umask-unsafe,,4,User umask value is unsafe,Kali Linux,fully updated
Laptop,0,ve,linux-grub-missing-passwd,,5,No password for Grub,Kali Linux,fully updated
Desktop,0,ve,linux-icmp-redirect,,7,ICMP redirection enabled,Kali Linux,fully updated
Desktop,0,ve,unix-partition-mounting-weakness,,2,Partition Mounting Weakness,Kali Linux,fully updated
Desktop,22,vv,ssh-weak-message-authentication-code-algorithms,,4,SSH Weak Message Authentication Code Algorithms,Kali Linux,fully updated
Desktop,0,ve,unix-umask-unsafe,,4,User umask value is unsafe,Kali Linux,fully updated
Desktop,0,ve,linux-grub-missing-passwd,,5,No password for Grub,Kali Linux,fully updated
Server,0,ve,linux-icmp-redirect,,7,ICMP redirection enabled,Kali Linux,fully updated
Server,0,ve,unix-partition-mounting-weakness,,2,Partition Mounting Weakness,Kali Linux,fully updated
Server,22,vv,ssh-weak-message-authentication-code-algorithms,,4,SSH Weak Message Authentication Code Algorithms,Kali Linux,fully updated
Server,0,ve,unix-umask-unsafe,,4,User umask value is unsafe,Kali Linux,fully updated
Server,0,ve,linux-grub-missing-passwd,,5,No password for Grub,Kali Linux,fully updated
