Asset IP Address,Service Port,Vulnerability Test Result Code,Vulnerability ID,Vulnerability CVE IDs,Vulnerability Severity Level,Vulnerability Title,Distribution,State
Laptop,0,ve,linux-icmp-redirect,,7,ICMP redirection enabled,Kali Linux,freshly installed
Laptop,22,vv,ssh-weak-message-authentication-code-algorithms,,4,SSH Weak Message Authentication Code Algorithms,Kali Linux,freshly installed
Laptop,0,ve,unix-umask-unsafe,,4,User umask value is unsafe,Kali Linux,freshly installed
Laptop,0,ve,linux-grub-missing-passwd,,5,No password for Grub,Kali Linux,freshly installed
Desktop,0,ve,linux-icmp-redirect,,7,ICMP redirection enabled,Kali Linux,freshly installed
Desktop,0,ve,unix-partition-mounting-weakness,,2,Partition Mounting Weakness,Kali Linux,freshly installed
Desktop,22,vv,ssh-weak-message-authentication-code-algorithms,,4,SSH Weak Message Authentication Code Algorithms,Kali Linux,freshly installed
Desktop,0,ve,unix-umask-unsafe,,4,User umask value is unsafe,Kali Linux,freshly installed
Desktop,0,ve,linux-grub-missing-passwd,,5,No password for Grub,Kali Linux,freshly installed
Server,0,ve,linux-icmp-redirect,,7,ICMP redirection enabled,Kali Linux,freshly installed
Server,0,ve,unix-partition-mounting-weakness,,2,Partition Mounting Weakness,Kali Linux,freshly installed
Server,22,vv,ssh-weak-message-authentication-code-algorithms,,4,SSH Weak Message Authentication Code Algorithms,Kali Linux,freshly installed
Server,0,ve,unix-umask-unsafe,,4,User umask value is unsafe,Kali Linux,freshly installed
Server,0,ve,linux-grub-missing-passwd,,5,No password for Grub,Kali Linux,freshly installed
