Asset IP Address,Service Port,Vulnerability Test Result Code,Vulnerability ID,Vulnerability CVE IDs,Vulnerability Severity Level,Vulnerability Title,Distribution,State
Laptop,0,ve,generic-icmp-timestamp,CVE-1999-0524,1,ICMP timestamp response,Ubuntu,freshly installed
Laptop,0,vv,ubuntu-cve-2022-33065,CVE-2022-33065,4,Ubuntu: (Multiple Advisories) (CVE-2022-33065): libsndfile vulnerability,Ubuntu,freshly installed
Laptop,0,vv,ubuntu-cve-2022-41877,CVE-2022-41877,4,Ubuntu: (Multiple Advisories) (CVE-2022-41877): FreeRDP vulnerabilities,Ubuntu,freshly installed
Laptop,0,vv,ubuntu-cve-2022-48624,CVE-2022-48624,4,Ubuntu: (Multiple Advisories) (CVE-2022-48624): less vulnerability,Ubuntu,freshly installed
Laptop,0,vv,ubuntu-cve-2023-23583,CVE-2023-23583,4,Ubuntu: (Multiple Advisories) (CVE-2023-23583): Intel Microcode vulnerability,Ubuntu,freshly installed
Laptop,0,vv,ubuntu-cve-2023-28450,CVE-2023-28450,4,Ubuntu: (Multiple Advisories) (CVE-2023-28450): Dnsmasq vulnerability,Ubuntu,freshly installed
Laptop,0,vv,ubuntu-cve-2023-38469,CVE-2023-38469,4,Ubuntu: (Multiple Advisories) (CVE-2023-38469): Avahi vulnerabilities,Ubuntu,freshly installed
Laptop,0,vv,ubuntu-cve-2023-38470,CVE-2023-38470,4,Ubuntu: (Multiple Advisories) (CVE-2023-38470): Avahi vulnerabilities,Ubuntu,freshly installed
Laptop,0,vv,ubuntu-cve-2023-38471,CVE-2023-38471,4,Ubuntu: (Multiple Advisories) (CVE-2023-38471): Avahi vulnerabilities,Ubuntu,freshly installed
Laptop,0,vv,ubuntu-cve-2023-38472,CVE-2023-38472,4,Ubuntu: (Multiple Advisories) (CVE-2023-38472): Avahi vulnerabilities,Ubuntu,freshly installed
Laptop,0,vv,ubuntu-cve-2023-38473,CVE-2023-38473,4,Ubuntu: (Multiple Advisories) (CVE-2023-38473): Avahi vulnerabilities,Ubuntu,freshly installed
Laptop,0,vv,ubuntu-cve-2023-38546,CVE-2023-38546,4,Ubuntu: (Multiple Advisories) (CVE-2023-38546): curl vulnerabilities,Ubuntu,freshly installed
Laptop,0,vv,ubuntu-cve-2023-39352,CVE-2023-39352,4,Ubuntu: (Multiple Advisories) (CVE-2023-39352): FreeRDP vulnerabilities,Ubuntu,freshly installed
Laptop,0,vv,ubuntu-cve-2023-39356,CVE-2023-39356,4,Ubuntu: (Multiple Advisories) (CVE-2023-39356): FreeRDP vulnerabilities,Ubuntu,freshly installed
Laptop,0,vv,ubuntu-cve-2023-39804,CVE-2023-39804,4,Ubuntu: (Multiple Advisories) (CVE-2023-39804): GNU Tar vulnerability,Ubuntu,freshly installed
Laptop,0,vv,ubuntu-cve-2023-4016,CVE-2023-4016,4,Ubuntu: (Multiple Advisories) (CVE-2023-4016): procps-ng vulnerability,Ubuntu,freshly installed
Laptop,0,vv,ubuntu-cve-2023-41983,CVE-2023-41983,4,Ubuntu: (Multiple Advisories) (CVE-2023-41983): WebKitGTK vulnerabilities,Ubuntu,freshly installed
Laptop,0,vv,ubuntu-cve-2023-42852,CVE-2023-42852,4,Ubuntu: (Multiple Advisories) (CVE-2023-42852): WebKitGTK vulnerabilities,Ubuntu,freshly installed
Laptop,0,vv,ubuntu-cve-2023-42883,CVE-2023-42883,4,Ubuntu: (Multiple Advisories) (CVE-2023-42883): WebKitGTK vulnerability,Ubuntu,freshly installed
Laptop,0,vv,ubuntu-cve-2023-42916,CVE-2023-42916,4,Ubuntu: (Multiple Advisories) (CVE-2023-42916): WebKitGTK vulnerabilities,Ubuntu,freshly installed
Laptop,0,vv,ubuntu-cve-2023-42917,CVE-2023-42917,4,Ubuntu: (Multiple Advisories) (CVE-2023-42917): WebKitGTK vulnerabilities,Ubuntu,freshly installed
Laptop,0,vv,ubuntu-cve-2023-43115,CVE-2023-43115,4,Ubuntu: (Multiple Advisories) (CVE-2023-43115): Ghostscript vulnerability,Ubuntu,freshly installed
Laptop,0,vv,ubuntu-cve-2023-43641,CVE-2023-43641,4,Ubuntu: (Multiple Advisories) (CVE-2023-43641): CUE vulnerability,Ubuntu,freshly installed
Laptop,0,vv,ubuntu-cve-2023-43804,CVE-2023-43804,4,Ubuntu: (Multiple Advisories) (CVE-2023-43804): urllib3 vulnerabilities,Ubuntu,freshly installed
Laptop,0,vv,ubuntu-cve-2023-44487,CVE-2023-44487,4,Ubuntu: (Multiple Advisories) (CVE-2023-44487): .NET vulnerability,Ubuntu,freshly installed
Laptop,0,vv,ubuntu-cve-2023-45803,CVE-2023-45803,4,Ubuntu: (Multiple Advisories) (CVE-2023-45803): urllib3 vulnerabilities,Ubuntu,freshly installed
Laptop,0,vv,ubuntu-cve-2023-45866,CVE-2023-45866,4,Ubuntu: (Multiple Advisories) (CVE-2023-45866): BlueZ vulnerability,Ubuntu,freshly installed
Laptop,0,vv,ubuntu-cve-2023-46218,CVE-2023-46218,4,Ubuntu: (Multiple Advisories) (CVE-2023-46218): curl vulnerabilities,Ubuntu,freshly installed
